person,degree,marijuana
711,high school,legal
712,Lt high school,not legal
713,bachelor,not legal
714,bachelor,legal
715,high school,not legal
716,high school,legal
717,Lt high school,not legal
718,bachelor,not legal
719,bachelor,legal
720,high school,not legal
721,high school,legal
722,Lt high school,not legal
723,bachelor,not legal
724,bachelor,legal
725,high school,not legal
726,high school,legal
727,Lt high school,not legal
728,bachelor,not legal
729,bachelor,legal
730,high school,not legal
731,high school,legal
732,Lt high school,not legal
733,bachelor,not legal
734,bachelor,legal
735,high school,not legal
736,high school,legal
737,Lt high school,not legal
738,bachelor,not legal
739,bachelor,legal
740,high school,not legal
741,high school,legal
742,Lt high school,not legal
743,bachelor,not legal
744,bachelor,legal
745,high school,not legal
746,high school,legal
747,Lt high school,not legal
748,bachelor,not legal
749,bachelor,legal
750,high school,not legal
751,high school,legal
752,Lt high school,not legal
753,bachelor,not legal
754,bachelor,legal
755,high school,not legal
756,high school,legal
757,Lt high school,not legal
758,bachelor,not legal
759,bachelor,legal
760,high school,not legal
761,high school,legal
762,Lt high school,not legal
763,bachelor,not legal
764,bachelor,legal
765,high school,not legal
766,high school,legal
767,Lt high school,not legal
768,bachelor,not legal
769,bachelor,legal
770,high school,not legal
771,high school,legal
772,Lt high school,not legal
773,bachelor,not legal
774,bachelor,legal
775,high school,not legal
776,high school,legal
777,Lt high school,not legal
778,bachelor,not legal
779,bachelor,legal
780,high school,not legal
781,high school,legal
782,Lt high school,not legal
783,bachelor,not legal
784,bachelor,legal
785,high school,not legal
786,high school,legal
787,Lt high school,not legal
788,bachelor,not legal
789,bachelor,legal
790,high school,not legal
791,high school,legal
792,Lt high school,not legal
793,bachelor,not legal
794,bachelor,legal
795,high school,not legal
796,high school,legal
797,Lt high school,not legal
798,bachelor,not legal
799,bachelor,legal
800,high school,not legal
801,high school,legal
802,Lt high school,not legal
803,bachelor,not legal
804,bachelor,legal
805,high school,not legal
806,high school,legal
807,Lt high school,not legal
808,bachelor,not legal
809,bachelor,legal
810,high school,not legal
811,high school,legal
812,Lt high school,not legal
813,bachelor,not legal
814,bachelor,legal
815,high school,not legal
816,high school,legal
817,Lt high school,not legal
818,bachelor,not legal
819,bachelor,legal
820,high school,not legal
821,high school,legal
822,Lt high school,not legal
823,bachelor,not legal
824,bachelor,legal
825,high school,not legal
826,high school,legal
827,Lt high school,not legal
828,bachelor,not legal
829,bachelor,legal
830,high school,not legal
831,high school,legal
832,Lt high school,not legal
833,bachelor,not legal
834,bachelor,legal
835,high school,not legal
836,high school,legal
837,Lt high school,not legal
838,bachelor,not legal
839,bachelor,legal
840,high school,not legal
841,high school,legal
842,Lt high school,not legal
843,bachelor,not legal
844,bachelor,legal
845,high school,not legal
846,high school,legal
847,Lt high school,not legal
848,bachelor,legal
849,high school,not legal
850,high school,legal
851,Lt high school,not legal
852,bachelor,legal
853,high school,not legal
854,high school,legal
855,Lt high school,not legal
856,bachelor,legal
857,high school,not legal
858,high school,legal
859,Lt high school,not legal
860,bachelor,legal
861,high school,not legal
862,high school,legal
863,Lt high school,not legal
864,bachelor,legal
865,high school,not legal
866,high school,legal
867,Lt high school,not legal
868,bachelor,legal
869,high school,not legal
870,high school,legal
871,Lt high school,not legal
872,bachelor,legal
873,high school,not legal
874,high school,legal
875,Lt high school,not legal
876,high school,not legal
877,high school,legal
878,Lt high school,not legal
879,high school,not legal
880,high school,legal
881,Lt high school,not legal
882,high school,not legal
883,high school,legal
884,Lt high school,not legal
885,high school,not legal
886,high school,legal
887,Lt high school,not legal
888,high school,not legal
889,high school,legal
890,Lt high school,not legal
891,high school,not legal
892,high school,legal
893,Lt high school,not legal
894,high school,not legal
895,high school,legal
896,Lt high school,not legal
897,high school,not legal
898,high school,legal
899,Lt high school,not legal
900,high school,not legal
901,high school,legal
902,Lt high school,not legal
903,high school,not legal
904,high school,legal
905,Lt high school,not legal
906,high school,not legal
907,high school,legal
908,Lt high school,not legal
909,high school,not legal
910,high school,legal
911,high school,not legal
912,high school,legal
913,high school,not legal
914,high school,legal
915,high school,not legal
916,high school,legal
917,high school,not legal
918,high school,legal
919,high school,not legal
920,high school,legal
921,high school,not legal
922,high school,legal
923,high school,not legal
924,high school,legal
925,high school,not legal
926,high school,legal
927,high school,not legal
928,high school,legal
929,high school,not legal
930,high school,legal
931,high school,not legal
932,high school,legal
933,high school,not legal
934,high school,legal
935,high school,not legal
936,high school,legal
937,high school,not legal
938,high school,legal
939,high school,not legal
940,high school,legal
941,high school,not legal
942,high school,legal
943,high school,not legal
944,high school,legal
945,high school,not legal
946,high school,legal
947,high school,not legal
948,high school,legal
949,high school,not legal
950,high school,legal
951,high school,not legal
952,high school,legal
953,high school,not legal
954,high school,legal
955,high school,not legal
956,high school,legal
957,high school,not legal
958,high school,legal
959,high school,not legal
960,high school,legal
961,high school,not legal
962,high school,legal
963,high school,not legal
964,high school,legal
965,high school,not legal
966,high school,legal
967,high school,not legal
968,high school,legal
969,high school,not legal
970,high school,legal
971,high school,not legal
972,high school,legal
973,high school,not legal
974,high school,legal
975,high school,not legal
976,high school,legal
977,high school,not legal
978,high school,legal
979,high school,not legal
980,high school,legal
981,high school,not legal
982,high school,legal
983,high school,not legal
984,high school,legal
985,high school,not legal
986,high school,legal
987,high school,not legal
988,high school,legal
989,high school,not legal
990,high school,legal
991,high school,not legal
992,high school,legal
993,high school,not legal
994,high school,legal
995,high school,not legal
996,high school,legal
997,high school,not legal
998,high school,legal
999,high school,not legal
1000,high school,legal
1001,high school,not legal
1002,high school,legal
1003,high school,not legal
1004,high school,legal
1005,high school,not legal
1006,high school,legal
1007,high school,not legal
1008,high school,legal
1009,high school,not legal
1010,high school,legal
1011,high school,not legal
1012,high school,legal
1013,high school,not legal
1014,high school,legal
1015,high school,not legal
1016,high school,legal
1017,high school,not legal
1018,high school,legal
1019,high school,not legal
1020,high school,legal
1021,high school,not legal
1022,high school,legal
1023,high school,not legal
1024,high school,legal
1025,high school,not legal
1026,high school,legal
1027,high school,not legal
1028,high school,legal
1029,high school,not legal
1030,high school,legal
1031,high school,not legal
1032,high school,legal
1033,high school,not legal
1034,high school,legal
1035,high school,not legal
1036,high school,legal
1037,high school,not legal
1038,high school,legal
1039,high school,not legal
1040,high school,legal
1041,high school,not legal
1042,high school,legal
1043,high school,not legal
1044,high school,legal
1045,high school,not legal
1046,high school,legal
1047,high school,not legal
1048,high school,legal
1049,high school,not legal
1050,high school,legal
1051,high school,not legal
1052,high school,legal
1053,high school,not legal
1054,high school,legal
1055,high school,not legal
1056,high school,legal
1057,high school,not legal
1058,high school,legal
1059,high school,not legal
1060,high school,legal
1061,high school,not legal
1062,high school,legal
1063,high school,not legal
1064,high school,legal
1065,high school,not legal
1066,high school,legal
1067,high school,not legal
1068,high school,legal
1069,high school,not legal
1070,high school,legal
1071,high school,not legal
1072,high school,legal
1073,high school,not legal
1074,high school,legal
1075,high school,not legal
1076,high school,legal
1077,high school,not legal
1078,high school,legal
1079,high school,not legal
1080,high school,legal
1081,high school,not legal
1082,high school,legal
1083,high school,not legal
1084,high school,legal
1085,high school,not legal
1086,high school,legal
1087,high school,not legal
1088,high school,legal
1089,high school,not legal
1090,high school,legal
1091,high school,not legal
1092,high school,legal
1093,high school,not legal
1094,high school,legal
1095,high school,not legal
1096,high school,legal
1097,high school,not legal
1098,high school,legal
1099,high school,not legal
1100,high school,legal
1101,high school,not legal
1102,high school,legal
1103,high school,not legal
1104,high school,legal
1105,high school,not legal
1106,high school,legal
1107,high school,not legal
1108,high school,legal
1109,high school,not legal
1110,high school,legal
1111,high school,not legal
1112,high school,legal
1113,high school,not legal
1114,high school,legal
1115,high school,not legal
1116,high school,legal
1117,high school,not legal
1118,high school,legal
1119,high school,not legal
1120,high school,legal
1121,high school,not legal
1122,high school,legal
1123,high school,not legal
1124,high school,legal
1125,high school,not legal
1126,high school,legal
1127,high school,not legal
1128,high school,legal
1129,high school,not legal
1130,high school,legal
1131,high school,not legal
1132,high school,legal
1133,high school,not legal
1134,high school,legal
1135,high school,not legal
1136,high school,legal
1137,high school,not legal
1138,high school,legal
1139,high school,not legal
1140,high school,legal
1141,high school,not legal
1142,high school,legal
1143,high school,not legal
1144,high school,legal
1145,high school,not legal
1146,high school,legal
1147,high school,not legal
1148,high school,legal
1149,high school,not legal
1150,high school,legal
1151,high school,not legal
1152,high school,legal
1153,high school,not legal
1154,high school,legal
1155,high school,not legal
1156,high school,legal
1157,high school,not legal
1158,high school,legal
1159,high school,not legal
1160,high school,legal
1161,high school,not legal
1162,high school,legal
1163,high school,not legal
1164,high school,legal
1165,high school,not legal
1166,high school,legal
1167,high school,not legal
1168,high school,legal
1169,high school,not legal
1170,high school,legal
1171,high school,not legal
1172,high school,legal
1173,high school,not legal
1174,high school,legal
1175,high school,not legal
1176,high school,legal
1177,high school,not legal
1178,high school,legal
1179,high school,not legal
1180,high school,legal
1181,high school,not legal
1182,high school,legal
1183,high school,not legal
1184,high school,legal
1185,high school,not legal
1186,high school,legal
1187,high school,not legal
1188,high school,legal
1189,high school,not legal
1190,high school,legal
1191,high school,not legal
1192,high school,legal
1193,high school,not legal
1194,high school,legal
1195,high school,not legal
1196,high school,legal
1197,high school,not legal
1198,high school,legal
1199,high school,not legal
1200,high school,legal
1201,high school,not legal
1202,high school,legal
1203,high school,not legal
1204,high school,legal
1205,high school,not legal
1206,high school,legal
1207,high school,not legal
1208,high school,legal
1209,high school,not legal
1210,high school,legal
1211,high school,not legal
1212,high school,legal
1213,high school,not legal
1214,high school,legal
1215,high school,not legal
1216,high school,legal
1217,high school,not legal
1218,high school,legal
1219,high school,not legal
1220,high school,legal
1221,high school,not legal
1222,high school,legal
1223,high school,not legal
1224,high school,legal
1225,high school,not legal
1226,high school,legal
1227,high school,not legal
1228,high school,legal
1229,high school,not legal
1230,high school,legal
1231,high school,not legal
1232,high school,legal
1233,high school,not legal
1234,high school,legal
1235,high school,not legal
1236,high school,legal
1237,high school,not legal
1238,high school,legal
1239,high school,not legal
1240,high school,legal
1241,high school,not legal
1242,high school,legal
1243,high school,not legal
1244,high school,legal
1245,high school,not legal
1246,high school,legal
1247,high school,not legal
1248,high school,legal
1249,high school,not legal
1250,high school,legal
1251,high school,not legal
1252,high school,legal
1253,high school,not legal
1254,high school,legal
1255,high school,not legal
1256,high school,legal
1257,high school,not legal
1258,high school,not legal
1259,high school,not legal
