Country Name,Country Code,Region,IncomeGroup,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,East Asia & Pacific,High income,52.31999969,52.02000046,51.97000122,51.7519989,52.67300034,53.66400146,53.85499954,53.67200089,53.74399948,53.75,54.6230011,55.19300079,55.40200043,56.05400085,55.8030014,57.04999924,57.61299896,58.20100021,58.66400146,58.8219986,58.70600128,58.95199966,58.82600021,58.70700073,58.64899826,59.06600189,59.24700165,59.69300079,59.64500046
Austria,AUT,Europe & Central Asia,High income,43.43299866,43.78699875,44.99000168,45.56900024,47.95700073,48.80799866,48.34199905,48.29899979,48.81399918,48.98099899,48.94300079,48.77799988,50.15399933,50.18700027,49.36100006,50.66799927,51.24200058,52.11700058,52.67599869,53.3730011,53.50699997,53.8390007,54.3370018,54.59899902,54.56200027,54.5359993,54.94599915,54.86899948,54.82600021
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,51.69400024,51.83000183,52.85900116,54.1609993,55.44900131,56.33300018,56.45800018,56.36100006,56.08100128,55.94100189,56.25899887,56.49300003,56.73500061,56.99700165,57.30099869,57.6609993,58.05400085,58.51599884,59.04199982,59.61700058,60.22299957,60.81399918,61.10400009,61.32300186,61.92300034,62.51699829,62.96300125,63.26200104,63.11299896
Burundi,BDI,Sub-Saharan Africa,Low income,90.78399658,90.34500122,89.84500122,89.28299713,88.66500092,87.99299622,87.26200104,86.46499634,85.59200287,84.97899628,84.33200073,83.83499908,83.34999847,82.88600159,82.45200348,82.0530014,81.64600372,81.26599884,80.91699982,80.61000061,80.34999847,80.11199951,79.91799927,79.7480011,79.5739975,79.84400177,80.07900238,80.28600311,80.34899902
Belgium,BEL,Europe & Central Asia,High income,36.55899811,37.9469986,38.73699951,39.44800186,40.05400085,40.47399902,40.52899933,40.9679985,41.53300095,43.14099884,43.56999969,41.72299957,42.35599899,42.67599869,43.95700073,45.48699951,45.62200165,46.4090004,46.73099899,46.74599838,47.48899841,46.80500031,46.88899994,47.59400177,48.01100159,48.02399826,47.76599884,47.89199829,47.88899994
Benin,BEN,Sub-Saharan Africa,Low income,57.32600021,57.33499908,57.36600113,58.22200012,59.07300186,59.91799927,60.74100113,61.55500031,62.35699844,63.14899826,63.92900085,64.69000244,65.44100189,66.13899994,66.76899719,67.33200073,67.81700134,68.24099731,68.60900116,68.93399811,69.22399902,68.08899689,68.20700073,68.35199738,68.51200104,68.68000031,68.83599854,69.01699829,69.1760025
Burkina Faso,BFA,Sub-Saharan Africa,Low income,76.29299927,76.26899719,75.46399689,74.63600159,73.78199768,72.90200043,71.97699738,71.02799988,70.05400085,69.05400085,68.02600098,66.95400238,65.86000061,64.7440033,63.60200119,62.43700027,61.22800064,60.84899902,60.47000122,60.0929985,59.7179985,59.3409996,58.97100067,58.60699844,58.24900055,58.37599945,58.49700165,58.6269989,58.4620018
Bangladesh,BGD,South Asia,Lower middle income,23.61800003,23.74200058,23.93000031,24.1779995,24.47800064,24.82500076,25.10000038,25.43000031,25.79199982,26.1609993,26.5170002,26.7670002,27.02599907,27.28499985,27.54000092,27.79700089,27.92000008,28.39900017,28.88699913,29.38199997,29.88299942,30.37100029,30.86400032,31.36400032,31.87100029,32.38399887,32.88999939,35.85200119,35.99900055
Bulgaria,BGR,Europe & Central Asia,Upper middle income,54.44800186,54.39599991,54.37400055,53.25899887,52.09400177,50.87200165,49.67300034,48.43399811,47.13499832,45.74700165,44.25600052,46.80199814,46.39400101,44.95100021,45.7879982,44.74399948,46.88700104,48.10900116,48.8409996,48.0890007,47.69800186,47.21699905,47.82500076,48.52799988,48.62900162,48.63299942,47.76499939,49.6269989,49.52999878
Bahrain,BHR,Middle East & North Africa,High income,29.18799973,28.93799973,29.51399994,30.18000031,30.91699982,31.67200089,32.20299911,32.72999954,33.31700134,34.00400162,34.77600098,35.49200058,36.20500183,37.04399872,37.97100067,38.94300079,39.65100098,40.50500107,41.50099945,42.60400009,43.76300049,43.00400162,43.20299911,43.40499878,43.61500168,43.80099869,44.01100159,44.35200119,44.47299957
"Bahamas, The",BHS,Latin America & Caribbean,High income,64.83300018,65.64600372,66.46099854,67.26399994,67.99199677,68.26799774,68.40699768,68.40799713,68.61699677,68.96600342,69.04299927,69.23500061,69.38999939,69.18599701,69.10500336,69.20800018,69.2519989,69.24700165,69.00099945,68.63999939,68.74299622,68.55500031,68.61699677,68.43699646,68.18000031,67.7440033,67.53099823,67.52700043,67.56800079
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,41.26800156,41.06200027,40.74100113,40.34000015,39.92599869,39.50999832,39.3030014,39.14899826,38.99900055,38.81700134,38.64099884,38.45500183,38.26699829,38.08599854,37.92599869,37.82500076,37.63800049,37.49900055,37.39799881,37.22399902,37.06399918,36.8370018,36.54700089,36.27399826,35.97200012,35.66699982,35.25899887,35.72600174,35.62799835
Belarus,BLR,Europe & Central Asia,Upper middle income,53.22700119,53.01599884,52.7859993,52.62200165,52.5719986,52.63999939,52.63999939,52.63999939,52.72700119,52.84999847,53.31000137,53.74900055,54.1629982,54.56000137,54.9640007,55.40000153,55.79800034,56.24100113,56.70299911,57.15200043,57.54000092,57.86100006,58.13600159,58.35800171,58.52700043,58.64199829,58.66500092,58.39500046,58.1269989
Belize,BLZ,Latin America & Caribbean,Upper middle income,34.4280014,35.02299881,35.75600052,35.97700119,35.63499832,35.78499985,36.13499832,37.13399887,38.15000153,39.20199966,40.28900146,41.38199997,42.50600052,43.64599991,44.78300095,45.90000153,47.13199997,48.34899902,49.55099869,50.74700165,51.93799973,53.23500061,54.52700043,53.70100021,52.93000031,52.2120018,52.76800156,52.92499924,53.28099823
Bermuda,BMU,North America,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,55.10800171,55.68299866,55.94400024,56.4659996,57.02199936,57.56800079,58.02299881,58.52700043,58.79199982,58.99900055,59.22399902,59.88499832,60.54399872,61.20299911,61.85300064,62.48099899,63.09400177,61.38899994,62.24000168,62.36700058,62.01900101,61.65100098,57.94400024,58.82099915,60.90000153,54.50899887,60.3219986,56.58599854,56.59500122
Brazil,BRA,Latin America & Caribbean,Upper middle income,41.97499847,43.0320015,44.09000015,45.14799881,46.20800018,47.27099991,46.26100159,47.13899994,48.01100159,49.26699829,50.26800156,51.27500153,52.63000107,52.94599915,53.99200058,55.11999893,54.83000183,54.5870018,54.48899841,54.9659996,53.57600021,52.17300034,53.07799911,52.97600174,52.86000061,53.37799835,53.32099915,54.16799927,54.02999878
Barbados,BRB,Latin America & Caribbean,High income,61.26599884,60.65200043,61.39300156,62.25799942,62.99900055,63.79399872,64.48999786,63.56299973,63.45899963,63.32699966,63.18899918,63.27500153,63.37099838,63.47499847,64.18900299,64.19999695,64.11699677,63.98899841,63.81700134,63.60699844,63.49200058,63.2879982,62.06100082,63.23099899,61.85599899,61.86000061,62.56800079,62.23400116,61.89400101
Brunei Darussalam,BRN,East Asia & Pacific,High income,45.93500137,46.20899963,47.14599991,48.14300156,49.2140007,50.36199951,51.29899979,52.33599854,53.48400116,54.67900085,55.8390007,56.22800064,56.04399872,55.97600174,56.0379982,56.18500137,56.23600006,56.30799866,56.44499969,56.6590004,56.9280014,57.19100189,57.41600037,57.61800003,57.81000137,58,58.18799973,58.36199951,58.22000122
Bhutan,BTN,South Asia,Lower middle income,55.73099899,55.20600128,54.83200073,54.54899979,54.2519989,53.90299988,54.36999893,54.89599991,55.50299835,56.26100159,57.20600128,58.8409996,60.52399826,62.11999893,63.52700043,64.70800018,65.50800323,66.17199707,66.6969986,67.11100006,64.55699921,62.27000046,63.50299835,58.18700027,54.93099976,57.76499939,57.89500046,57.97900009,58.20299911
Botswana,BWA,Sub-Saharan Africa,Upper middle income,45.25500107,45.73600006,46.19200134,46.6629982,47.20600128,47.8409996,48.26900101,48.79299927,49.37799835,49.36999893,49.46699905,50.41899872,51.4070015,52.41899872,53.42699814,54.41500092,55.41999817,55.70600128,55.98600006,56.26599884,53.54600143,57.42599869,61.10699844,64.55400085,64.90799713,65.23100281,65.52400208,65.83699799,66.19200134
Central African Republic,CAF,Sub-Saharan Africa,Low income,65.68099976,65.63300323,65.625,65.66899872,65.7539978,65.86699677,65.80899811,65.78900146,65.79599762,65.83399963,65.89700317,65.81400299,65.76499939,65.73899841,65.75099945,65.78199768,65.73000336,65.69300079,65.66699982,65.65599823,65.66300201,65.5059967,65.3219986,65.05599976,64.83899689,64.625,64.69100189,64.79100037,64.72399902
Canada,CAN,North America,High income,57.88600159,57.85100174,57.25699997,57.06700134,56.89300156,56.80899811,56.76800156,57.09600067,57.69200134,58.20899963,58.64899826,58.95000076,60.125,61.14300156,61.25600052,60.93099976,61.19900131,61.88999939,61.98799896,61.87400055,61.85800171,61.60100174,61.61199951,61.68399811,61.0870018,60.77000046,60.80699921,61.01599884,60.84600067
Central Europe and the Baltics,CEB,,,54.74606112,54.66115387,54.52118328,53.90559579,53.14482824,52.31585893,51.25530101,50.82026958,50.4711842,50.33933516,50.41140497,50.39920372,48.68612735,48.15033352,47.80536243,47.5177573,47.49843188,47.28761337,47.3771111,47.55754897,47.98869976,47.88999876,48.31257098,48.40712618,48.8096358,48.81492458,48.80272974,49.41934291,49.22244534
Switzerland,CHE,Europe & Central Asia,High income,57.13700104,56.8390007,57.19499969,57.0019989,56.06000137,55.80099869,56.96099854,57.02700043,58.13199997,58.32099915,57.77299881,58.89500046,59.35900116,59.55400085,59.23600006,59.45800018,59.89099884,60.09999847,61.43899918,61.64099884,59.91899872,60.5870018,60.93299866,61.26200104,62.01900101,62.39500046,62.88499832,62.60100174,62.60599899
Channel Islands,CHI,Europe & Central Asia,High income,46.02199936,46.03300095,46.3409996,46.67300034,47.26800156,47.26499939,47.12599945,47.50699997,48.17300034,49.09999847,49.39899826,49.5530014,50.10300064,50.26599884,49.93299866,50.19800186,50.42499924,50.36399841,50.18500137,50.10599899,50.30799866,49.10599899,49.11299896,49.22299957,49.65999985,49.85499954,49.94400024,49.89500046,49.63499832
Chile,CHL,Latin America & Caribbean,High income,34.2840004,34.67300034,35.30699921,35.65100098,35.90800095,36.49300003,37.07899857,38.06200027,38.33399963,38.45299911,38.33100128,37.44300079,37.27199936,38.73799896,40.36199951,41.40000153,42.26699829,43.43199921,45.80599976,46.26599884,47.05699921,48.94499969,49.15499878,49.56600189,50.13100052,50.10900116,50.35100174,50.90999985,51.03099823
China,CHN,East Asia & Pacific,Upper middle income,73.19799805,73.08300018,72.97100067,72.85199738,72.70700073,72.51999664,72.29699707,72.03299713,71.72599792,71.38300323,71.01000214,70.20300293,69.32900238,68.42299652,67.5530014,66.76599884,66.06500244,65.46399689,64.9240036,64.37599945,63.77700043,63.56999969,63.40100098,63.1780014,62.92699814,62.60699844,62.22999954,61.84400177,61.25699997
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,47.80199814,47.84400177,47.93600082,48.06499863,48.21900177,48.39500046,48.40599823,48.43000031,48.47700119,48.43600082,48.40800095,48.38800049,48.37200165,48.35699844,48.3390007,48.31499863,48.29100037,48.26499939,48.23600006,48.20299911,48.16600037,48.12400055,48.08599854,48.05500031,48.0379982,48.04100037,48.0530014,48.21900177,48.27899933
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,78.13600159,78.06300354,78.01200104,77.98000336,77.97299957,77.98300171,77.95800018,77.9509964,77.95700073,77.97299957,77.9960022,77.99199677,77.9960022,78.01200104,78.04199982,78.08799744,78.12799835,78.18699646,75.78900146,73.24900055,70.58100128,70.68399811,70.7990036,70.92299652,71.04699707,71.16999817,71.27200317,71.3730011,71.20400238
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,71.17299652,71.0759964,70.98999786,70.91200256,70.86499786,70.85500336,70.76999664,70.70700073,70.6760025,70.65699768,70.63899994,70.57499695,70.53099823,70.49900055,70.47699738,70.46299744,69.20500183,67.91999817,66.61000061,65.27700043,63.92300034,62.5379982,61.13199997,61.11600113,61.11700058,61.13000107,61.10900116,61.11600113,60.83200073
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,64.83000183,64.88600159,64.97200012,65.08200073,65.20999908,65.36599731,65.46700287,65.58999634,65.74099731,65.91000366,66.10500336,66.18800354,66.3030014,66.43699646,66.57800293,66.71399689,66.85099792,66.98699951,67.1289978,67.27799988,67.43399811,67.37599945,67.30899811,67.23500061,67.15899658,67.08100128,67.04499817,67.03099823,66.93299866
Colombia,COL,Latin America & Caribbean,Upper middle income,52.0719986,52.09500122,52.2859993,52.25999832,52.57500076,52.93999863,53.12799835,53.5379982,53.76300049,53.54399872,54.03900146,54.30400085,54.64099884,55.65800095,53.98400116,53.03900146,52.06299973,51.09700012,51.60900116,55.09199905,56.46699905,57.29600143,58.7519989,58.65000153,58.6629982,59.24900055,58.88399887,58.55799866,58.59000015
Comoros,COM,Sub-Saharan Africa,Lower middle income,30.04999924,30.02899933,30.08699989,30.18600082,30.31500053,30.50200081,30.67499924,30.88699913,31.12999916,31.41600037,31.75699997,32.03900146,32.36399841,32.7179985,33.0870018,33.45700073,33.77000046,34.0909996,34.41899872,34.75400162,35.09400177,35.375,35.67200089,35.97800064,36.29399872,36.62099838,36.89699936,37.21099854,37.42900085
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,42.27600098,43.22499847,44.17200089,45.11199951,46.04600143,46.9679985,47.81399918,48.61999893,49.38000107,50.0929985,50.76800156,51.48400116,52.17100143,52.84600067,53.53699875,54.26599884,55.15399933,56.06900024,56.97800064,57.85599899,58.69400024,59.67300034,60.65999985,61.63800049,62.5909996,63.50600052,64.1230011,64.68299866,65.11599731
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,32.90499878,33.79999924,33.14599991,34.05400085,35.09000015,36.12400055,34.56399918,37.6629982,40.11999893,40.17300034,38.59500122,42.39400101,42.22900009,42.48600006,41.00099945,44.69599915,44.5890007,45.71099854,46.04800034,46.34400177,46.64400101,45.27899933,50.26900101,49.79000092,49.14899826,48.27000046,44.71500015,45.4070015,45.65000153
Caribbean small states,CSS,,,49.54394765,50.30485374,51.17772515,51.98385418,52.48609557,52.25870564,52.22250176,51.61186778,50.93775771,50.84878682,50.68937051,50.81571587,50.96465398,51.44830271,52.11108384,52.71241121,52.94739615,52.87979095,53.16865974,52.97022666,52.98615868,53.04297432,53.4479131,54.09812084,54.18845912,53.94296381,54.6678629,54.71640758,54.8172869
Cuba,CUB,Latin America & Caribbean,Upper middle income,35.86000061,36,36.0890007,36.10599899,36.23099899,36.38499832,36.39699936,36.26300049,36.32899857,36.13499832,36.24000168,36.31600189,36.54100037,36.72499847,36.90499878,38.29100037,39.65999985,41.06499863,41.58300018,42.61899948,42.26399994,42.09500122,41.54999924,41.375,41.16400146,40.85200119,40.48400116,40.16600037,40.02399826
Curacao,CUW,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Europe & Central Asia,High income,46.25500107,46.79700089,47.39199829,46.77799988,48.18999863,47.20700073,47.66799927,49.28900146,49.01200104,49.02099991,49.63899994,52.09000015,52.60300064,53.84500122,53.86700058,53.20299911,54.09400177,55.2179985,55.58399963,56.50500107,57.6269989,56.80799866,56.18199921,56.27000046,57.81900024,57.88299942,56.99499893,57.25799942,57.24499893
Czech Republic,CZE,Europe & Central Asia,High income,51.98199844,52.14400101,52.22200012,52.31200027,52.56299973,52.27899933,51.71500015,51.5,51.64099884,51.98799896,51.63000107,51.23400116,50.93199921,51.04800034,50.63899994,50.77199936,50.625,49.88700104,49.34899902,49.50799942,49.23199844,49.43099976,50.06700134,50.98699951,50.9679985,51.42200089,52.06499863,52.53699875,52.44200134
Germany,DEU,Europe & Central Asia,High income,45.22800064,47.97299957,47.81700134,47.33499908,47.90200043,47.85900116,47.86399841,48.31999969,48.53699875,49.07400131,49.06499863,49.36199951,49.63000107,49.98600006,49.80899811,50.70100021,51.48899841,52.01499939,52.13199997,52.5320015,52.78900146,53.65800095,53.70399857,54.30899811,54.51399994,54.60599899,54.95999908,55.2120018,55.24900055
Djibouti,DJI,Middle East & North Africa,Lower middle income,44.78900146,44.70700073,44.87799835,45.20600128,45.5340004,45.74200058,46.09199905,46.32600021,46.50899887,46.78099823,47.19900131,47.42599869,47.78099823,48.21900177,48.6570015,49.06299973,49.47700119,49.90399933,50.34899902,50.81999969,51.31200027,51.85800171,52.40499878,52.94499969,53.47299957,53.97900009,54.35100174,54.72499847,54.81200027
Dominica,DMA,Latin America & Caribbean,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Europe & Central Asia,High income,61.04700089,61.43799973,61.59199905,61.02999878,57.91400146,57.95100021,58.22000122,58.70199966,59.41999817,60.00099945,60.04999924,59.80500031,60.28300095,59.61100006,60.375,60.49900055,61.1570015,60.8370018,61.05500031,60.60900116,59.79899979,59.63000107,59.10699844,58.58599854,58.00999832,57.70800018,59.31200027,58.10200119,58.04600143
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,33.83000183,33.72600174,34.54700089,35.05099869,35.07600021,35.44599915,36.01300049,36.70299911,37.31299973,37.88899994,38.34000015,38.44100189,38.92100143,38.75600052,38.76900101,39.61399841,40.9659996,40.30699921,42.10699844,39.04299927,41.62400055,44.7820015,44.4090004,44.9090004,45.44100189,49.59199905,50.34199905,50.71099854,50.86399841
Algeria,DZA,Middle East & North Africa,Upper middle income,11.38300037,11.45499992,11.51200008,11.61499977,11.72000027,11.80200005,11.86699963,11.81299973,11.79899979,11.82499981,11.89299965,12.00699997,12.1619997,12.35499954,12.58300018,12.84300041,13.13300037,13.45499992,13.81200027,14.20600033,14.37899971,15.23900032,16.15699959,16.88199997,15.34000015,15.18999958,15.02700043,14.87699986,14.91600037
East Asia & Pacific (excluding high income),EAP,,,68.51483297,68.59601602,68.67488679,68.56552621,68.42463551,68.2965586,68.15964752,67.96941186,67.77019943,67.55041375,67.24897332,66.46519676,65.57291131,64.86820055,64.13742599,63.48338538,62.93069033,62.93016346,62.57269146,62.1860522,61.78280093,61.72951057,61.62809293,61.32303837,61.11641447,60.80737826,60.432675,60.10409276,59.68478746
Early-demographic dividend,EAR,,,34.64193159,34.92000927,35.21043435,35.24259405,35.59674203,35.59093429,35.65628913,35.82786785,35.96932549,36.12987268,36.04424535,36.0873646,36.04944861,36.16555579,36.36418619,36.54483115,36.08467204,35.92563957,35.40404327,35.08156612,34.71331139,34.21745728,33.81805387,33.91138584,33.97810493,34.2020052,34.43042474,34.68328982,34.66476681
East Asia & Pacific,EAS,,,65.86734862,65.98939647,66.07803343,65.96758743,65.88958783,65.80271782,65.73830875,65.6400028,65.39481824,65.19979206,64.96897841,64.32282519,63.54449598,62.93903393,62.33873198,61.81560601,61.36840844,61.40209669,61.10385905,60.76202428,60.4120845,60.36380804,60.28988866,60.08711081,59.97172359,59.74884557,59.48300764,59.26969627,58.89898658
Europe & Central Asia (excluding high income),ECA,,,53.71504559,53.49897674,53.10009233,51.50695536,51.27998059,50.95062448,50.15212333,49.30668803,48.79280103,50.02057725,49.5180323,48.98243849,49.04471048,48.52328415,48.13243069,48.03559936,48.17684254,48.39022434,48.4267636,48.62515925,48.73639384,49.00523168,48.94776451,49.06485578,48.88925228,49.02459363,49.09626491,49.17300056,48.88314534
Europe & Central Asia,ECS,,,49.19954618,49.42417706,49.1649182,48.38063089,48.35144605,48.19645632,47.97884206,47.69543849,47.6524154,48.48728596,48.45486839,48.21908376,48.49808343,48.51657295,48.48537613,48.71944582,48.97134544,49.20056049,49.44107166,49.6785297,49.78469391,49.99598647,50.18543141,50.33378639,50.32738124,50.4175748,50.57707833,50.67465995,50.5112748
Ecuador,ECU,Latin America & Caribbean,Upper middle income,47.72000122,48.04899979,48.20700073,48.35599899,48.69300079,48.86299896,49.02700043,49.48199844,52.55599976,52.00500107,51.44499969,50.875,50.29499817,49.70700073,53.50099945,52.54000092,53.74200058,52.66999817,52.88899994,51.31600189,49.88199997,49.05599976,50.29800034,49.45299911,48.51699829,52.20500183,55.80799866,56.63000107,56.63299942
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,21.32799911,21.33600044,21.40200043,21.5170002,22.32900047,21.00399971,20.25799942,19.5340004,18.83300018,19.84199905,19.90500069,20.08099937,18.8390007,19.25399971,19.7159996,20.22800064,20.78700066,22.74500084,21.50499916,22.68700027,22.63299942,22.04000092,22.50499916,23.38599968,23.68899918,22.55200005,22.85000038,22.73399925,22.83399963
Euro area,EMU,,,42.19659966,43.1028515,42.92488568,42.87523417,43.28887136,43.46282806,43.80067867,44.1166552,44.51754726,45.16202555,45.51078402,45.4900279,46.15538414,46.86408674,47.24562534,47.80875258,48.30986,48.73494358,49.17384568,49.4456843,49.55394903,49.74878804,50.1595328,50.29057529,50.29609514,50.29952871,50.5247897,50.61972472,50.54032198
Eritrea,ERI,Sub-Saharan Africa,Low income,72.83499908,72.43599701,72.02300262,71.63700104,71.26499939,70.87400055,71.08799744,71.29199982,71.47299957,71.63600159,71.77600098,72.01999664,72.24099731,72.45500183,72.69100189,72.95500183,73.08000183,73.22200012,73.34899902,73.46499634,73.54799652,73.64399719,73.72000122,73.77600098,73.81600189,73.84600067,73.97599792,74.09799957,74.13800049
Spain,ESP,Europe & Central Asia,High income,33.8390007,34.01900101,34.5890007,35.10200119,36.27700043,36.68500137,37.2140007,37.99499893,38.37599945,39.07899857,40.58200073,39.4620018,41.9129982,43.36500168,44.72499847,46.09899902,47.44900131,48.35300064,49.66899872,50.77899933,51.54299927,52.125,52.64500046,52.61899948,52.375,52.31499863,52.30199814,51.86100006,51.65000153
Estonia,EST,Europe & Central Asia,High income,54.92399979,54.63100052,54.35699844,54.0870018,53.84700012,53.6629982,53.52299881,54.27000046,52.81399918,52.04600143,52.61199951,52,50.95500183,52.31600189,53.21500015,53.49599838,54.72900009,54.15100098,54.88800049,54.73799896,55.02299881,55.56000137,55.36000061,55.33800125,54.59000015,55.99100113,56.47200012,57.13800049,56.95100021
Ethiopia,ETH,Sub-Saharan Africa,Low income,66.5719986,66.47899628,66.41200256,66.40299988,66.40200043,67.26200104,68.07099915,68.85199738,69.60900116,70.34799957,71.0719986,71.77700043,72.46900177,73.14600372,73.8010025,74.4260025,74.32099915,74.20600128,74.08000183,73.94799805,73.81199646,73.69400024,73.57800293,73.46900177,73.62599945,73.78800201,73.93800354,74.10700226,74.23600006
European Union,EUU,,,46.31860321,46.85944846,46.70590248,46.5315517,46.63232269,46.57123269,46.6069144,46.75873605,46.96961533,47.44590992,47.72173757,47.68480742,47.82923553,48.15375562,48.39584433,48.78546349,49.17850252,49.40284216,49.7459184,49.98666272,50.13350761,50.27309543,50.65922838,50.82209757,50.94380828,50.95288544,51.13260821,51.34163223,51.26660936
Fragile and conflict affected situations,FCS,,,51.5783781,51.4866459,51.32639759,51.2146237,51.12493192,51.11144694,50.93567873,50.69734295,50.46798967,50.37324348,50.27401827,50.03023295,49.81835394,49.62060719,49.34013743,49.0342192,48.50503344,48.00707187,47.5530541,47.00898633,46.59781537,46.37387192,46.08440864,46.07720825,46.11369297,46.19152475,46.06261324,45.95825341,45.92397535
Finland,FIN,Europe & Central Asia,High income,58.97600174,57.72200012,56.32400131,55.48600006,54.77999878,54.75400162,54.64500046,54.77600098,54.98699951,56.14599991,56.18700027,56.5320015,56.86199951,56.52700043,56.31200027,56.61999893,57.08599854,57.47100067,57.43899918,57.02099991,56.02600098,55.81299973,55.94599915,55.5,55.50500107,55.52099991,54.95600128,55.15999985,55.00500107
Fiji,FJI,East Asia & Pacific,Upper middle income,39.93299866,40.0379982,39.85499954,39.78900146,39.63000107,39.54999924,39.37599945,38.67399979,37.99200058,37.3370018,36.71500015,36.29700089,35.9280014,35.59199905,35.26200104,34.92599869,36.55699921,38.17900085,39.79800034,41.43199921,43.10400009,44.85200119,43.59400177,42.33599854,41.06999969,39.56299973,38.09500122,37.9620018,38.11600113
