ID,Age,Sex,LicYr,LicMth,ActCar,Kids5,Kids6,PreferCar,Carsmall_new5K,Reason,Cost,Reliable,Perform,Fuel,Safety,AC/PS,Park,Room,Doors,Prestige,Colour
142,34,female,0,3,medium,no,yes,medium,large_used,safety,important,very_important,very_important,important,very_important,little_importance,little_importance,important,little_importance,not_important,not_important
143,21,female,3,0,medium,no,yes,medium,large_used,cost,very_important,very_important,important,very_important,very_important,not_important,little_importance,very_important,not_important,little_importance,little_importance
144,20,male,2,0,medium,no,no,medium,large_used,comfort,very_important,very_important,very_important,important,important,very_important,very_important,important,little_importance,little_importance,important
149,24,female,6,0,small,no,yes,small,small_new,reliability,little_importance,very_important,very_important,very_important,important,little_importance,important,little_importance,little_importance,important,important
150,23,male,5,0,large,no,no,medium,large_used,performance,important,very_important,important,important,very_important,little_importance,important,important,important,little_importance,important
151,43,female,26,0,large,no,yes,large,large_used,reliability,important,very_important,little_importance,important,very_important,little_importance,little_importance,important,important,not_important,not_important
152,23,female,6,0,small,no,no,medium,small_new,cost,important,very_important,important,important,very_important,not_important,important,little_importance,not_important,not_important,not_important
153,41,female,17,0,large,no,yes,large,large_used,safety,very_important,very_important,important,important,very_important,very_important,very_important,very_important,very_important,little_importance,little_importance
156,18,female,3,0,medium,no,yes,medium,large_used,looks,important,very_important,very_important,very_important,very_important,little_importance,important,very_important,important,very_important,very_important
241,19,male,1,0,medium,no,no,medium,small_new,safety,important,important,important,very_important,very_important,little_importance,little_importance,important,important,important,important
242,22,male,4,0,small,no,yes,large,large_used,cost,very_important,very_important,important,important,very_important,little_importance,little_importance,important,little_importance,important,little_importance
243,22,female,4,0,small,no,no,small,small_new,reliability,very_important,important,important,important,important,not_important,little_importance,important,not_important,little_importance,little_importance
245,27,male,9,0,small,no,no,medium,large_used,comfort,important,very_important,important,important,important,important,little_importance,important,little_importance,little_importance,little_importance
246,37,male,20,0,large,no,yes,large,large_used,performance,important,very_important,important,important,very_important,important,important,very_important,important,little_importance,little_importance
248,23,male,5,0,small,no,no,medium,large_used,reliability,very_important,very_important,important,important,very_important,little_importance,important,important,little_importance,little_importance,little_importance
249,25,male,7,0,medium,yes,yes,large,large_used,safety,very_important,very_important,important,important,very_important,important,not_important,important,not_important,not_important,not_important
8,23,female,7,0,medium,no,yes,large,large_used,safety,very_important,very_important,very_important,important,very_important,important,important,very_important,important,little_importance,not_important
14,51,female,34,0,medium,yes,no,large,small_new,safety,important,very_important,very_important,important,very_important,very_important,important,important,very_important,little_importance,very_important
20,21,female,5,0,medium,no,no,large,large_used,performance,very_important,very_important,very_important,very_important,important,very_important,important,very_important,very_important,very_important,very_important
39,60,male,40,0,large,no,no,small,small_new,safety,important,very_important,very_important,important,very_important,not_important,not_important,little_importance,not_important,not_important,not_important
41,51,male,35,0,small,no,yes,small,small_new,comfort,very_important,important,not_important,important,important,important,important,not_important,not_important,not_important,not_important
42,31,female,13,0,small,no,no,small,small_new,reliability,very_important,very_important,very_important,important,important,important,important,important,little_importance,not_important,not_important
43,32,male,14,0,medium,no,no,large,large_used,reliability,very_important,very_important,very_important,very_important,very_important,important,important,very_important,little_importance,little_importance,important
44,25,female,7,0,small,no,no,small,large_used,looks,very_important,important,little_importance,important,important,important,important,little_importance,little_importance,important,important
45,51,female,34,0,medium,no,no,medium,large_used,safety,little_importance,very_important,very_important,very_important,very_important,important,important,important,important,little_importance,little_importance
46,48,female,32,0,large,no,no,small,small_new,looks,important,important,important,important,important,important,important,important,important,important,important
47,60,female,25,0,small,no,no,medium,small_new,reliability,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,important,very_important,very_important
49,64,male,46,0,large,no,yes,large,large_used,reliability,very_important,important,very_important,very_important,very_important,very_important,important,very_important,very_important,very_important,not_important
50,50,female,28,0,medium,no,no,small,small_new,comfort,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,important,little_importance,very_important
51,25,female,7,0,medium,no,no,medium,large_used,reliability,important,very_important,very_important,important,very_important,important,little_importance,important,important,not_important,not_important
289,22,male,4,0,medium,no,no,medium,small_new,comfort,very_important,important,important,very_important,very_important,important,important,important,little_importance,little_importance,little_importance
259,36,female,18,0,large,no,yes,medium,large_used,cost,important,very_important,important,important,very_important,very_important,important,very_important,very_important,important,important
260,23,female,4,0,small,no,no,small,large_used,performance,important,important,very_important,important,very_important,not_important,little_importance,important,not_important,little_importance,not_important
290,18,female,0,10,small,no,no,medium,small_new,performance,important,very_important,very_important,very_important,important,little_importance,little_importance,important,not_important,not_important,not_important
261,63,male,46,0,large,no,no,4,large_used,performance,important,very_important,important,important,important,very_important,little_importance,important,very_important,not_important,little_importance
292,36,male,19,0,small,no,no,small,small_new,cost,very_important,very_important,little_importance,important,very_important,little_importance,little_importance,important,little_importance,not_important,not_important
296,19,male,2,0,small,no,no,medium,small_new,safety,important,very_important,important,important,important,little_importance,important,little_importance,little_importance,little_importance,little_importance
270,57,female,39,0,large,no,no,large,small_new,looks,important,very_important,very_important,important,very_important,very_important,very_important,very_important,very_important,little_importance,important
297,18,male,0,10,medium,no,no,medium,large_used,safety,important,important,important,little_importance,very_important,little_importance,not_important,important,little_importance,important,not_important
276,49,female,33,0,large,no,no,medium,large_used,safety,important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,little_importance
277,31,male,12,0,large,no,no,large,large_used,comfort,very_important,very_important,very_important,very_important,very_important,very_important,important,very_important,very_important,little_importance,little_importance
299,61,male,43,0,small,no,no,medium,large_used,safety,important,very_important,important,important,very_important,important,important,important,important,little_importance,little_importance
278,25,male,7,0,small,no,no,medium,small_new,cost,very_important,very_important,very_important,very_important,important,not_important,not_important,important,not_important,not_important,little_importance
300,43,male,25,0,small,no,yes,small,small_new,cost,very_important,very_important,little_importance,important,important,not_important,important,not_important,not_important,not_important,not_important
279,34,male,17,0,large,no,no,large,large_used,comfort,very_important,very_important,very_important,little_importance,very_important,very_important,little_importance,very_important,important,important,important
280,29,male,11,7,medium,no,no,medium,large_used,reliability,important,very_important,important,important,important,important,not_important,important,important,important,important
281,27,female,9,0,medium,no,no,large,small_new,reliability,very_important,very_important,very_important,important,important,very_important,very_important,very_important,important,important,little_importance
282,30,female,12,0,medium,no,no,medium,small_new,performance,very_important,very_important,important,important,very_important,little_importance,little_importance,important,very_important,little_importance,important
301,39,female,11,0,large,no,yes,large,large_used,safety,important,very_important,very_important,very_important,very_important,very_important,important,important,very_important,important,not_important
302,24,female,3,0,small,no,no,medium,small_new,comfort,little_importance,very_important,very_important,little_importance,very_important,important,important,important,very_important,important,very_important
304,55,male,38,0,large,no,yes,large,small_new,looks,not_important,very_important,very_important,little_importance,very_important,very_important,very_important,little_importance,not_important,little_importance,little_importance
305,18,female,0,5,small,no,no,medium,small_new,reliability,important,very_important,very_important,very_important,important,little_importance,little_importance,important,not_important,little_importance,little_importance
326,42,female,23,0,large,no,no,medium,small_new,safety,important,very_important,very_important,very_important,very_important,very_important,important,important,important,little_importance,important
327,24,male,7,0,medium,no,no,4,large_used,looks,very_important,very_important,very_important,important,important,very_important,very_important,little_importance,little_importance,very_important,very_important
306,60,male,43,0,large,no,no,medium,small_new,comfort,little_importance,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,little_importance,important
328,27,male,10,0,small,no,no,4,large_used,performance,very_important,very_important,very_important,little_importance,important,important,little_importance,not_important,not_important,important,not_important
319,18,male,0,8,small,no,no,large,small_new,performance,very_important,important,very_important,important,little_importance,little_importance,little_importance,very_important,important,very_important,very_important
320,43,female,26,0,large,no,yes,large,large_used,performance,very_important,very_important,important,important,important,very_important,little_importance,very_important,not_important,not_important,little_importance
342,23,female,6,0,medium,no,no,medium,large_used,comfort,very_important,very_important,important,important,very_important,not_important,important,important,important,not_important,little_importance
321,18,male,0,6,small,no,no,4,large_used,reliability,important,very_important,important,little_importance,important,not_important,not_important,not_important,not_important,not_important,not_important
343,45,female,28,0,large,yes,no,small,small_new,safety,important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,little_importance,little_importance
344,67,female,50,0,large,no,no,medium,small_new,reliability,important,very_important,very_important,very_important,important,little_importance,little_importance,little_importance,not_important,not_important,not_important
322,21,male,3,0,medium,no,no,large,large_used,comfort,very_important,important,important,important,important,little_importance,not_important,important,not_important,important,little_importance
325,19,male,0,11,small,no,yes,small,small_new,safety,very_important,very_important,very_important,very_important,important,little_importance,important,important,important,little_importance,little_importance
350,36,male,17,0,large,no,no,large,large_used,cost,very_important,very_important,important,important,important,very_important,little_importance,important,important,little_importance,little_importance
351,42,female,25,0,large,yes,no,large,large_used,cost,very_important,very_important,important,important,important,very_important,little_importance,important,important,little_importance,little_importance
352,24,male,6,0,small,no,no,small,small_new,cost,very_important,very_important,important,very_important,little_importance,not_important,little_importance,little_importance,little_importance,little_importance,very_important
353,42,female,24,0,large,yes,no,medium,small_new,comfort,important,very_important,very_important,very_important,very_important,very_important,important,important,important,little_importance,little_importance
354,44,male,27,0,large,yes,no,large,small_new,comfort,important,very_important,little_importance,important,very_important,very_important,not_important,important,important,not_important,not_important
355,44,male,27,0,large,no,no,large,large_used,safety,important,very_important,very_important,important,very_important,important,important,very_important,important,little_importance,little_importance
368,56,male,39,0,large,no,yes,large,large_used,safety,not_important,very_important,very_important,very_important,very_important,important,very_important,very_important,important,not_important,important
363,19,male,1,0,small,no,no,small,small_new,cost,very_important,very_important,important,very_important,little_importance,little_importance,little_importance,important,very_important,not_important,not_important
371,39,male,18,0,small,no,yes,medium,small_new,cost,very_important,very_important,important,very_important,important,little_importance,important,important,important,little_importance,little_importance
364,20,male,2,0,small,no,no,medium,large_used,reliability,important,very_important,important,important,important,little_importance,little_importance,important,little_importance,important,important
365,25,male,8,0,medium,no,no,medium,small_new,cost,very_important,very_important,important,important,very_important,very_important,little_importance,important,little_importance,important,little_importance
372,20,male,4,0,medium,no,no,medium,large_used,reliability,very_important,important,important,important,very_important,important,important,not_important,not_important,important,important
366,19,male,0,2,medium,no,no,medium,small_new,cost,very_important,very_important,important,important,important,not_important,little_importance,little_importance,important,important,little_importance
373,45,female,28,0,large,no,yes,medium,small_new,comfort,important,very_important,very_important,important,very_important,very_important,very_important,very_important,very_important,very_important,important
374,21,male,3,0,medium,no,no,small,large_used,reliability,very_important,very_important,little_importance,important,not_important,not_important,not_important,little_importance,not_important,little_importance,little_importance
375,46,female,29,0,medium,no,yes,small,small_new,reliability,important,very_important,very_important,not_important,very_important,very_important,very_important,important,important,important,important
376,66,male,49,0,medium,yes,yes,medium,small_new,reliability,important,very_important,important,important,important,very_important,important,important,important,not_important,important
381,72,male,55,0,large,no,no,large,large_used,comfort,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,important
379,50,female,33,0,large,no,no,medium,small_new,comfort,very_important,very_important,very_important,very_important,very_important,very_important,very_important,important,important,little_importance,little_importance
382,28,female,10,0,large,no,no,medium,small_new,performance,very_important,important,very_important,very_important,little_importance,very_important,little_importance,important,important,very_important,little_importance
157,55,male,37,0,large,no,no,medium,small_new,safety,important,very_important,important,important,very_important,very_important,important,important,important,little_importance,important
158,39,female,22,0,large,yes,yes,large,large_used,safety,important,very_important,important,very_important,very_important,little_importance,little_importance,important,important,important,little_importance
159,20,female,2,0,medium,no,no,large,large_used,performance,very_important,important,very_important,very_important,important,little_importance,little_importance,important,not_important,important,little_importance
160,19,male,1,0,small,no,yes,medium,large_used,cost,important,very_important,important,important,very_important,very_important,very_important,little_importance,little_importance,little_importance,little_importance
161,60,male,42,0,large,yes,yes,large,small_new,safety,important,important,important,important,important,not_important,important,not_important,important,not_important,little_importance
162,25,female,7,0,small,no,no,small,small_new,safety,important,very_important,very_important,important,important,little_importance,important,important,little_importance,little_importance,little_importance
163,48,female,19,0,medium,no,no,small,small_new,comfort,very_important,very_important,important,important,very_important,important,important,important,important,important,little_importance
164,23,male,5,0,large,no,no,large,large_used,cost,important,very_important,important,important,very_important,important,important,little_importance,little_importance,little_importance,not_important
167,36,female,18,0,small,no,no,medium,large_used,safety,important,very_important,important,important,very_important,very_important,important,important,important,little_importance,very_important
168,32,female,15,0,small,no,no,medium,small_new,comfort,important,very_important,important,very_important,very_important,very_important,important,important,important,important,little_importance
169,23,female,5,0,small,no,no,medium,large_used,performance,important,very_important,very_important,important,important,important,important,important,important,important,very_important
170,19,male,2,0,small,no,no,medium,small_new,safety,very_important,very_important,little_importance,very_important,very_important,important,important,not_important,little_importance,important,not_important
171,21,male,2,0,medium,no,yes,medium,small_new,safety,very_important,very_important,important,important,very_important,little_importance,little_importance,important,not_important,not_important,not_important
175,26,male,9,0,medium,no,no,large,large_used,reliability,important,very_important,important,very_important,little_importance,little_importance,important,important,not_important,not_important,little_importance
176,21,female,2,0,small,no,no,medium,small_new,comfort,important,very_important,very_important,very_important,very_important,little_importance,important,important,not_important,little_importance,little_importance
177,18,male,0,6,medium,no,no,medium,large_used,reliability,important,very_important,very_important,very_important,very_important,important,important,very_important,little_importance,little_importance,little_importance
178,27,male,10,0,small,no,no,small,small_new,cost,very_important,very_important,important,important,very_important,little_importance,little_importance,little_importance,not_important,important,little_importance
179,35,female,17,0,small,no,yes,medium,small_new,comfort,important,very_important,very_important,important,very_important,little_importance,very_important,very_important,little_importance,little_importance,important
180,18,female,0,10,medium,no,yes,small,large_used,cost,very_important,important,important,little_importance,little_importance,little_importance,not_important,not_important,important,not_important,not_important
181,23,female,5,0,large,no,yes,small,large_used,safety,very_important,very_important,very_important,very_important,very_important,important,important,important,little_importance,important,little_importance
182,20,female,3,0,small,no,no,small,small_new,safety,very_important,very_important,important,very_important,very_important,very_important,important,important,important,little_importance,important
183,22,male,4,0,small,no,no,medium,large_used,cost,very_important,very_important,very_important,very_important,very_important,important,important,important,very_important,little_importance,important
184,19,male,1,0,small,no,no,small,small_new,performance,important,very_important,very_important,very_important,very_important,little_importance,important,important,not_important,little_importance,important
185,32,female,14,0,medium,yes,no,large,large_used,safety,important,very_important,important,important,very_important,important,little_importance,important,important,not_important,little_importance
186,19,female,1,0,small,no,no,medium,small_new,performance,important,very_important,important,important,very_important,little_importance,important,little_importance,little_importance,not_important,not_important
187,21,female,3,0,medium,no,no,medium,small_new,safety,important,very_important,very_important,important,very_important,important,important,important,little_importance,little_importance,not_important
189,63,male,43,0,large,no,yes,large,large_used,safety,little_importance,very_important,very_important,very_important,very_important,important,not_important,important,very_important,little_importance,important
190,42,male,24,0,medium,no,yes,large,large_used,safety,very_important,very_important,important,little_importance,important,very_important,very_important,very_important,important,very_important,important
52,28,male,11,0,medium,no,no,medium,large_used,reliability,important,very_important,important,important,important,important,important,important,very_important,little_importance,little_importance
55,25,female,5,0,small,no,no,medium,large_used,safety,important,very_important,very_important,very_important,very_important,important,little_importance,important,little_importance,very_important,very_important
58,25,female,7,0,small,yes,no,medium,small_new,safety,very_important,very_important,important,very_important,very_important,important,little_importance,little_importance,very_important,not_important,not_important
60,50,female,33,0,large,no,yes,large,large_used,comfort,important,important,important,important,very_important,important,little_importance,important,important,very_important,important
63,55,female,38,0,medium,no,no,medium,large_used,safety,very_important,very_important,very_important,little_importance,very_important,not_important,important,little_importance,little_importance,not_important,not_important
65,49,female,32,0,large,yes,no,medium,large_used,looks,important,important,not_important,important,very_important,very_important,important,important,not_important,not_important,not_important
67,18,male,0,4,large,no,no,4,large_used,reliability,important,very_important,important,important,important,little_importance,little_importance,little_importance,little_importance,not_important,not_important
68,18,male,1,0,medium,no,yes,medium,small_new,safety,important,very_important,important,very_important,very_important,little_importance,important,important,not_important,little_importance,important
69,49,female,30,0,large,no,no,4,small_new,performance,important,very_important,very_important,very_important,important,important,little_importance,important,important,not_important,little_importance
70,46,female,31,0,small,no,yes,large,large_used,safety,important,important,little_importance,little_importance,very_important,very_important,very_important,very_important,important,important,important
71,24,female,5,0,small,no,no,medium,small_new,performance,very_important,very_important,very_important,very_important,very_important,very_important,important,important,very_important,important,important
72,37,male,22,0,medium,yes,no,large,large_used,reliability,little_importance,very_important,little_importance,important,little_importance,little_importance,important,very_important,important,not_important,not_important
73,22,male,4,0,large,no,no,medium,large_used,safety,important,important,important,important,important,very_important,important,little_importance,little_importance,not_important,not_important
74,35,male,2,0,medium,yes,no,medium,large_used,reliability,important,very_important,very_important,important,very_important,little_importance,not_important,important,important,not_important,not_important
191,61,female,30,0,large,no,no,large,large_used,looks,important,very_important,important,little_importance,very_important,very_important,little_importance,important,very_important,important,little_importance
192,67,male,35,0,medium,no,yes,medium,small_new,cost,very_important,very_important,very_important,very_important,very_important,important,important,important,very_important,little_importance,little_importance
193,32,male,17,0,large,no,yes,medium,large_used,comfort,important,very_important,little_importance,important,very_important,very_important,important,important,important,little_importance,little_importance
194,34,female,16,0,large,no,yes,small,small_new,safety,important,very_important,very_important,very_important,very_important,important,important,important,important,important,important
195,42,male,22,0,medium,no,yes,large,large_used,reliability,very_important,very_important,important,important,little_importance,very_important,little_importance,important,little_importance,important,not_important
196,60,female,34,0,small,no,no,small,small_new,safety,important,very_important,very_important,very_important,very_important,important,important,important,important,not_important,not_important
197,21,female,2,0,large,no,yes,4,large_used,safety,very_important,very_important,very_important,very_important,very_important,little_importance,little_importance,very_important,little_importance,little_importance,little_importance
198,28,male,10,0,small,no,no,4,large_used,looks,very_important,very_important,important,important,little_importance,little_importance,important,very_important,little_importance,important,little_importance
199,19,female,2,0,medium,no,no,small,small_new,reliability,very_important,very_important,important,important,important,little_importance,important,little_importance,not_important,important,little_importance
200,27,female,9,0,large,no,no,4,small_new,reliability,important,very_important,important,important,very_important,important,important,important,little_importance,little_importance,little_importance
202,43,female,26,0,small,no,no,large,small_new,looks,very_important,very_important,very_important,important,important,very_important,very_important,important,important,important,very_important
204,18,female,0,6,large,no,no,small,small_new,safety,very_important,very_important,very_important,very_important,very_important,important,important,important,little_importance,important,important
205,73,male,49,0,medium,no,no,medium,large_used,cost,very_important,very_important,little_importance,very_important,very_important,very_important,important,important,important,little_importance,important
206,29,female,4,0,medium,no,no,4,small_new,safety,little_importance,very_important,very_important,important,very_important,important,important,important,little_importance,little_importance,important
207,74,male,57,0,large,no,no,large,large_used,reliability,important,very_important,very_important,little_importance,important,very_important,little_importance,very_important,very_important,little_importance,important
208,47,female,16,0,medium,no,no,medium,large_used,comfort,very_important,very_important,very_important,very_important,very_important,very_important,important,very_important,very_important,important,very_important
209,50,female,30,0,medium,no,no,medium,small_new,safety,little_importance,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,little_importance
210,38,female,18,0,medium,no,yes,small,small_new,safety,important,very_important,very_important,important,very_important,very_important,very_important,important,very_important,little_importance,little_importance
211,18,male,0,7,medium,no,yes,large,large_used,cost,very_important,very_important,important,important,important,important,little_importance,important,important,little_importance,little_importance
212,71,female,50,0,medium,no,no,medium,large_used,looks,important,very_important,very_important,very_important,very_important,very_important,very_important,very_important,little_importance,little_importance,little_importance
213,45,female,28,0,small,no,no,small,small_new,performance,very_important,very_important,very_important,very_important,important,important,important,important,not_important,not_important,important
214,50,female,23,0,small,no,yes,medium,large_used,safety,very_important,very_important,important,very_important,very_important,important,important,important,important,little_importance,important
215,45,female,27,0,small,no,no,small,small_new,safety,very_important,very_important,very_important,very_important,very_important,very_important,important,important,little_importance,little_importance,little_importance
216,48,female,24,0,small,no,no,small,small_new,comfort,important,very_important,important,very_important,very_important,very_important,important,little_importance,important,not_important,important
217,24,female,6,0,small,no,no,medium,large_used,comfort,very_important,very_important,very_important,important,very_important,very_important,very_important,very_important,very_important,little_importance,not_important
218,18,female,0,2,medium,no,yes,small,small_new,cost,very_important,very_important,very_important,very_important,important,little_importance,little_importance,important,not_important,not_important,not_important
219,49,male,31,0,large,no,yes,large,large_used,performance,little_importance,very_important,very_important,little_importance,very_important,very_important,not_important,very_important,important,important,not_important
220,27,male,9,0,small,no,yes,large,small_new,looks,not_important,very_important,very_important,not_important,very_important,very_important,very_important,very_important,not_important,little_importance,very_important
221,43,female,24,0,large,no,no,medium,large_used,safety,important,important,important,very_important,very_important,not_important,important,important,important,little_importance,important
222,18,male,0,10,medium,no,no,medium,small_new,reliability,important,very_important,important,important,very_important,little_importance,important,important,important,little_importance,little_importance
223,24,male,6,0,small,yes,no,medium,large_used,looks,important,important,very_important,important,important,little_importance,little_importance,important,important,important,little_importance
224,19,female,1,0,small,no,no,medium,small_new,reliability,important,very_important,very_important,very_important,very_important,very_important,important,important,important,little_importance,little_importance
228,46,male,29,0,large,no,yes,medium,small_new,cost,important,very_important,important,important,very_important,important,not_important,little_importance,very_important,little_importance,little_importance
230,38,female,20,0,small,no,no,small,small_new,reliability,important,very_important,very_important,important,very_important,important,very_important,very_important,little_importance,not_important,not_important
233,48,female,28,0,medium,no,yes,medium,small_new,performance,important,very_important,very_important,important,very_important,very_important,very_important,important,important,important,important
235,26,female,8,0,large,no,no,large,large_used,comfort,important,very_important,very_important,very_important,very_important,important,important,very_important,very_important,important,little_importance
236,46,female,22,0,medium,no,no,medium,large_used,looks,important,very_important,very_important,very_important,important,very_important,important,important,not_important,important,little_importance
238,68,male,35,0,medium,yes,no,medium,large_used,reliability,very_important,very_important,important,important,important,very_important,very_important,important,important,not_important,important
239,67,male,50,0,large,no,no,large,large_used,looks,very_important,very_important,very_important,very_important,very_important,little_importance,very_important,very_important,very_important,important,little_importance
240,21,male,3,0,large,no,no,large,large_used,performance,very_important,very_important,very_important,little_importance,important,very_important,not_important,important,important,important,not_important
75,51,female,35,0,small,no,no,medium,large_used,safety,not_important,important,little_importance,important,very_important,important,important,little_importance,important,not_important,very_important
76,22,male,6,0,small,no,no,small,small_new,performance,not_important,very_important,very_important,not_important,important,little_importance,little_importance,important,little_importance,important,little_importance
77,21,male,4,0,medium,no,no,4,large_used,reliability,important,very_important,very_important,very_important,little_importance,little_importance,important,very_important,not_important,important,important
78,43,female,26,0,small,no,no,medium,small_new,safety,important,very_important,important,very_important,important,very_important,important,important,very_important,important,little_importance
79,22,male,3,0,large,no,no,large,large_used,comfort,very_important,very_important,important,important,important,important,little_importance,important,important,little_importance,important
80,20,male,3,0,medium,no,no,medium,small_new,performance,very_important,very_important,important,very_important,very_important,very_important,important,important,very_important,not_important,little_importance
81,36,male,17,0,small,no,yes,small,small_new,performance,important,important,important,important,little_importance,little_importance,important,important,important,not_important,little_importance
83,52,female,27,0,medium,no,no,medium,large_used,safety,important,very_important,very_important,important,very_important,very_important,important,important,important,not_important,little_importance
84,18,male,1,0,large,no,no,small,large_used,reliability,important,very_important,important,little_importance,very_important,not_important,not_important,important,not_important,important,important
85,18,male,0,2,medium,no,yes,medium,large_used,performance,important,important,very_important,important,important,little_importance,little_importance,important,very_important,not_important,not_important
86,24,male,5,0,medium,no,no,4,large_used,reliability,very_important,little_importance,little_importance,important,important,not_important,not_important,very_important,little_importance,not_important,not_important
