"Science and Engineering Labor Force by Educational Attainment"

Parent Location,Location,Location Type,Education Level,TimeFrame,Data Type,Data,Footnotes
,District of Columbia,State,Ph.D.,2010,Percent,19.0%,
,District of Columbia,State,Bachelor's Degree,2010,Percent,33.0%,
,District of Columbia,State,Master's Degree,2010,Percent,-,
,Florida,State,Associate's Degree,2010,Percent,12.0%,
,Florida,State,Ph.D.,2010,Percent,6.0%,
,Florida,State,Master's Degree,2010,Percent,16.0%,
,Florida,State,Bachelor's Degree,2010,Percent,39.0%,
,Georgia,State,Master's Degree,2010,Percent,17.0%,
,Georgia,State,Bachelor's Degree,2010,Percent,42.0%,
,Georgia,State,Ph.D.,2010,Percent,5.0%,
,Georgia,State,Associate's Degree,2010,Percent,9.0%,
,Hawaii,State,Associate's Degree,2010,Percent,8.0%,
,Hawaii,State,Bachelor's Degree,2010,Percent,40.0%,
,Hawaii,State,Master's Degree,2010,Percent,14.0%,
,Hawaii,State,Ph.D.,2010,Percent,7.0%,
,Idaho,State,Bachelor's Degree,2010,Percent,41.0%,
,Idaho,State,Master's Degree,2010,Percent,16.0%,
,Idaho,State,Ph.D.,2010,Percent,3.0%,
,Idaho,State,Associate's Degree,2010,Percent,9.0%,
,Illinois,State,Master's Degree,2010,Percent,21.0%,
,Illinois,State,Ph.D.,2010,Percent,7.0%,
,Illinois,State,Associate's Degree,2010,Percent,8.0%,
,Illinois,State,Bachelor's Degree,2010,Percent,43.0%,
,Indiana,State,Master's Degree,2010,Percent,14.0%,
,Indiana,State,Bachelor's Degree,2010,Percent,43.0%,
,Indiana,State,Associate's Degree,2010,Percent,13.0%,
,Indiana,State,Ph.D.,2010,Percent,5.0%,
,Iowa,State,Master's Degree,2010,Percent,13.0%,
,Iowa,State,Associate's Degree,2010,Percent,15.0%,
,Iowa,State,Ph.D.,2010,Percent,6.0%,
,Iowa,State,Bachelor's Degree,2010,Percent,42.0%,
,Kansas,State,Master's Degree,2010,Percent,16.0%,
,Kansas,State,Ph.D.,2010,Percent,5.0%,
,Kansas,State,Bachelor's Degree,2010,Percent,41.0%,
,Kansas,State,Associate's Degree,2010,Percent,9.0%,
,Kentucky,State,Master's Degree,2010,Percent,14.0%,
,Kentucky,State,Associate's Degree,2010,Percent,12.0%,
,Kentucky,State,Ph.D.,2010,Percent,4.0%,
,Kentucky,State,Bachelor's Degree,2010,Percent,42.0%,
,Louisiana,State,Associate's Degree,2010,Percent,7.0%,
,Louisiana,State,Ph.D.,2010,Percent,5.0%,
,Louisiana,State,Master's Degree,2010,Percent,12.0%,
,Louisiana,State,Bachelor's Degree,2010,Percent,39.0%,
,Maine,State,Ph.D.,2010,Percent,5.0%,
,Maine,State,Master's Degree,2010,Percent,17.0%,
,Maine,State,Bachelor's Degree,2010,Percent,40.0%,
,Maine,State,Associate's Degree,2010,Percent,11.0%,
,Maryland,State,Master's Degree,2010,Percent,24.0%,
,Maryland,State,Bachelor's Degree,2010,Percent,36.0%,
,Maryland,State,Associate's Degree,2010,Percent,6.0%,
,Maryland,State,Ph.D.,2010,Percent,13.0%,
,Massachusetts,State,Bachelor's Degree,2010,Percent,40.0%,
,Massachusetts,State,Ph.D.,2010,Percent,13.0%,
,Massachusetts,State,Master's Degree,2010,Percent,25.0%,
,Massachusetts,State,Associate's Degree,2010,Percent,6.0%,
,Michigan,State,Master's Degree,2010,Percent,20.0%,
,Michigan,State,Ph.D.,2010,Percent,5.0%,
,Michigan,State,Associate's Degree,2010,Percent,10.0%,
,Michigan,State,Bachelor's Degree,2010,Percent,42.0%,
,Minnesota,State,Ph.D.,2010,Percent,5.0%,
,Minnesota,State,Associate's Degree,2010,Percent,12.0%,
,Minnesota,State,Master's Degree,2010,Percent,15.0%,
,Minnesota,State,Bachelor's Degree,2010,Percent,46.0%,
,Mississippi,State,Master's Degree,2010,Percent,13.0%,
,Mississippi,State,Ph.D.,2010,Percent,5.0%,
,Mississippi,State,Associate's Degree,2010,Percent,16.0%,
,Mississippi,State,Bachelor's Degree,2010,Percent,36.0%,
,Missouri,State,Bachelor's Degree,2010,Percent,41.0%,
,Missouri,State,Associate's Degree,2010,Percent,10.0%,
,Missouri,State,Ph.D.,2010,Percent,5.0%,
,Missouri,State,Master's Degree,2010,Percent,18.0%,
,Montana,State,Associate's Degree,2010,Percent,8.0%,
,Montana,State,Ph.D.,2010,Percent,7.0%,
,Montana,State,Master's Degree,2010,Percent,15.0%,
,Montana,State,Bachelor's Degree,2010,Percent,-,
,Nebraska,State,Ph.D.,2010,Percent,6.0%,
,Nebraska,State,Bachelor's Degree,2010,Percent,37.0%,
,Nebraska,State,Associate's Degree,2010,Percent,13.0%,
,Nebraska,State,Master's Degree,2010,Percent,15.0%,
,Nevada,State,Bachelor's Degree,2010,Percent,36.0%,
,Nevada,State,Associate's Degree,2010,Percent,10.0%,
,Nevada,State,Ph.D.,2010,Percent,3.0%,
,Nevada,State,Master's Degree,2010,Percent,13.0%,
,New Hampshire,State,Associate's Degree,2010,Percent,12.0%,
,New Hampshire,State,Ph.D.,2010,Percent,4.0%,
,New Hampshire,State,Master's Degree,2010,Percent,19.0%,
,New Hampshire,State,Bachelor's Degree,2010,Percent,40.0%,
,New Jersey,State,Master's Degree,2010,Percent,27.0%,
,New Jersey,State,Ph.D.,2010,Percent,9.0%,
,New Jersey,State,Associate's Degree,2010,Percent,6.0%,
,New Jersey,State,Bachelor's Degree,2010,Percent,38.0%,
,New Mexico,State,Bachelor's Degree,2010,Percent,30.0%,
,New Mexico,State,Ph.D.,2010,Percent,11.0%,
,New Mexico,State,Associate's Degree,2010,Percent,8.0%,
,New Mexico,State,Master's Degree,2010,Percent,20.0%,
,New York,State,Associate's Degree,2010,Percent,10.0%,
,New York,State,Ph.D.,2010,Percent,9.0%,
,New York,State,Master's Degree,2010,Percent,22.0%,
,New York,State,Bachelor's Degree,2010,Percent,41.0%,
,North Carolina,State,Master's Degree,2010,Percent,16.0%,
,North Carolina,State,Bachelor's Degree,2010,Percent,41.0%,
,North Carolina,State,Ph.D.,2010,Percent,6.0%,
,North Carolina,State,Associate's Degree,2010,Percent,11.0%,
,North Dakota,State,Master's Degree,2010,Percent,10.0%,
,North Dakota,State,Ph.D.,2010,Percent,3.0%,
,North Dakota,State,Bachelor's Degree,2010,Percent,-,
,North Dakota,State,Associate's Degree,2010,Percent,-,
,Ohio,State,Master's Degree,2010,Percent,14.0%,
,Ohio,State,Associate's Degree,2010,Percent,11.0%,
,Ohio,State,Ph.D.,2010,Percent,7.0%,
,Ohio,State,Bachelor's Degree,2010,Percent,41.0%,
,Oklahoma,State,Master's Degree,2010,Percent,14.0%,
,Oklahoma,State,Ph.D.,2010,Percent,3.0%,
,Oklahoma,State,Bachelor's Degree,2010,Percent,41.0%,
,Oklahoma,State,Associate's Degree,2010,Percent,10.0%,
,Oregon,State,Ph.D.,2010,Percent,7.0%,
,Oregon,State,Bachelor's Degree,2010,Percent,41.0%,
,Oregon,State,Master's Degree,2010,Percent,16.0%,
,Oregon,State,Associate's Degree,2010,Percent,11.0%,
,Pennsylvania,State,Ph.D.,2010,Percent,7.0%,
,Pennsylvania,State,Master's Degree,2010,Percent,18.0%,
,Pennsylvania,State,Bachelor's Degree,2010,Percent,41.0%,
,Pennsylvania,State,Associate's Degree,2010,Percent,12.0%,
,Rhode Island,State,Bachelor's Degree,2010,Percent,-,
,Rhode Island,State,Ph.D.,2010,Percent,8.0%,
,Rhode Island,State,Associate's Degree,2010,Percent,8.0%,
,Rhode Island,State,Master's Degree,2010,Percent,18.0%,
,South Carolina,State,Bachelor's Degree,2010,Percent,39.0%,
,South Carolina,State,Associate's Degree,2010,Percent,13.0%,
,South Carolina,State,Master's Degree,2010,Percent,13.0%,
,South Carolina,State,Ph.D.,2010,Percent,4.0%,
,South Dakota,State,Associate's Degree,2010,Percent,15.0%,
,South Dakota,State,Ph.D.,2010,Percent,5.0%,
,South Dakota,State,Master's Degree,2010,Percent,10.0%,
,South Dakota,State,Bachelor's Degree,2010,Percent,-,
,Tennessee,State,Associate's Degree,2010,Percent,13.0%,
,Tennessee,State,Bachelor's Degree,2010,Percent,39.0%,
,Tennessee,State,Master's Degree,2010,Percent,13.0%,
,Tennessee,State,Ph.D.,2010,Percent,6.0%,
,Texas,State,Associate's Degree,2010,Percent,10.0%,
,Texas,State,Master's Degree,2010,Percent,17.0%,
,Texas,State,Ph.D.,2010,Percent,6.0%,
,Texas,State,Bachelor's Degree,2010,Percent,40.0%,
,Utah,State,Master's Degree,2010,Percent,13.0%,
,Utah,State,Associate's Degree,2010,Percent,10.0%,
,Utah,State,Bachelor's Degree,2010,Percent,42.0%,
,Utah,State,Ph.D.,2010,Percent,4.0%,
,Vermont,State,Master's Degree,2010,Percent,17.0%,
,Vermont,State,Ph.D.,2010,Percent,9.0%,
,Vermont,State,Bachelor's Degree,2010,Percent,-,
,Vermont,State,Associate's Degree,2010,Percent,16.0%,
,Virginia,State,Ph.D.,2010,Percent,6.0%,
,Virginia,State,Bachelor's Degree,2010,Percent,39.0%,
,Virginia,State,Master's Degree,2010,Percent,25.0%,
,Virginia,State,Associate's Degree,2010,Percent,8.0%,
,Washington,State,Master's Degree,2010,Percent,18.0%,
,Washington,State,Ph.D.,2010,Percent,7.0%,
,Washington,State,Bachelor's Degree,2010,Percent,41.0%,
,Washington,State,Associate's Degree,2010,Percent,10.0%,
,West Virginia,State,Associate's Degree,2010,Percent,9.0%,
,West Virginia,State,Bachelor's Degree,2010,Percent,-,
,West Virginia,State,Ph.D.,2010,Percent,8.0%,
,West Virginia,State,Master's Degree,2010,Percent,12.0%,
,Wisconsin,State,Master's Degree,2010,Percent,16.0%,
,Wisconsin,State,Bachelor's Degree,2010,Percent,42.0%,
,Wisconsin,State,Ph.D.,2010,Percent,5.0%,
,Wisconsin,State,Associate's Degree,2010,Percent,15.0%,
,Wyoming,State,Ph.D.,2010,Percent,2.0%,
,Wyoming,State,Associate's Degree,2010,Percent,8.0%,
,Wyoming,State,Bachelor's Degree,2010,Percent,-,
,Wyoming,State,Master's Degree,2010,Percent,-,

