beer,brewery,location,alcohol,calories,carbs
Coopers Stout,,import,,,10.90
Coopers Pale Ale,,import,,,5.90
Corona Extra Beer,Cereveria Modela SA (Mexico),import,0.05,148.00,13.99
Corona Light,Cereveria Modela SA (Mexico),import,,,5.00
Dos Equis XX Imported Beer,Cauhtemoc (Mexico),import,0.05,149.00,
Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),import,0.05,156.00,
Dragon Stout,Desnoes – Goeddes (Jamaica),import,0.07,220.00,
Foster’s Lager,Garlton & United (Australia),import,0.05,156.00,11.00
Furstenberg German Beer,Fustlich Ferstenbergische,import,0.04,138.00,
Great Wall,Green Bamboo (China),import,0.05,160.00,
Greenall’s Cheshire English Pub Beer,Greenall Whitley PLC (England),import,0.05,142.00,
Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),import,0.05,145.00,9.50
Guiness Draught – Bottle,Guinness (Ireland),import,,126.00,9.90
Guinness Extra Stout,Guinness (Ireland),import,0.04,153.00,17.40
Harp,Harp (Ireland),import,0.05,142.00,
Heineken Lager Beer,Heineken (Holland),import,0.05,150.00,11.50
Heineken Special Dark Beer,Heineken (Holland),import,0.05,170.00,
Heineken Special Light,Heineken (Holland),import,0.04,99.00,6.80
Kirin Beer,Kirin (Japan),import,0.07,188.00,
Kronenbourg Beer,Kronenbourg (France),import,0.05,153.00,
Kronenbourg Imported Dark Beer,Kronenbourg (France),import,0.05,163.00,
Labatt’s 50,Labatt’s,import,0.05,153.00,9.90
McEwans Scotch Ale,Scottish & Newcastle (Scotland),import,0.10,295.00,
Molson Canadian Beer,Molson (Canada),import,0.05,153.00,
Molson Golden Beer,Molson (Canada),import,0.06,170.00,
Molson Light,Molson (Canada),import,0.02,82.00,
Moosehead Canadian Lager Beer,Moosehead (Canada),import,0.05,153.00,
Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),import,0.05,110.00,
O’Keefe Canadian Beer,O’Keefe (Canada),import,0.05,142.00,
Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),import,0.04,160.00,14.70
Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),import,0.05,153.00,
Samuel Smith’s Organic Lager,Samuel Smith’s Brewery,import,0.05,158.00,13.30
Sheaf Stout,Carlton & United (Australia),import,0.05,174.00,18.80
Sol Cerveza Especial,Cerveceria Montezuma (Mexico),import,0.04,131.00,
Spaten Munich Special Dark Beer,Spaten-Brau (Germany),import,0.07,185.00,
Stella Artois,,import,0.05,,12.78
St. Pauli Girl Beer,St. Pauli (Germany),import,0.05,148.00,8.70
St. Pauli Girl Dark Beer,St. Pauli (Germany),import,0.05,150.00,
Suntory Draft Beer,Suntory (Japan),import,0.05,138.00,
Superior Imported Beer,Cerveceria Moctezuma (Mexico),import,0.04,153.00,
Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),import,0.04,128.00,
Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),import,0.07,160.00,
Thos Cooper & Sons Stout,Cooper & Sons (Australia),import,0.07,205.00,
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),import,0.05,146.00,
Tsingtao Beer,Tsingtao (China),import,0.05,153.00,
Watney’s Red Barrel Beer,Stag (England),import,0.04,142.00,
Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),import,0.05,160.00,
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),import,0.05,153.00,
