country,leprosy,eegion,Income_group
Malaysia,196,East Asia & Pacific,Upper middle income
Maldives,6,South Asia,Upper middle income
Mali,174,Sub-Saharan Africa,Low income
Malta,0,Middle East & North Africa,High income
Marshall Islands,No data,East Asia & Pacific,Upper middle income
Mauritania,28,Sub-Saharan Africa,Lower middle income
Mauritius,0,Sub-Saharan Africa,Upper middle income
Mexico,148,Latin America & Caribbean,Upper middle income
Micronesia (Federated States of),141,East Asia & Pacific,Lower middle income
Monaco,0,Europe & Central Asia,High income
Mongolia,0,East Asia & Pacific,Lower middle income
Montenegro,No data,Europe & Central Asia,Upper middle income
Morocco,13,Middle East & North Africa,Lower middle income
Mozambique,1926,Sub-Saharan Africa,Low income
Myanmar,2279,East Asia & Pacific,Lower middle income
Namibia,11,Sub-Saharan Africa,Upper middle income
Nauru,No data,East Asia & Pacific,Upper middle income
Nepal,3215,South Asia,Low income
Netherlands,3,Europe & Central Asia,High income
New Zealand,3,East Asia & Pacific,High income
Nicaragua,7,Latin America & Caribbean,Lower middle income
Niger,278,Sub-Saharan Africa,Low income
Nigeria,2447,Sub-Saharan Africa,Lower middle income
Norway,0,Europe & Central Asia,High income
Oman,1,Middle East & North Africa,High income
Pakistan,403,South Asia,Lower middle income
Palau,No data,East Asia & Pacific,High income
Panama,1,Latin America & Caribbean,High income
Papua New Guinea,583,East Asia & Pacific,Lower middle income
Paraguay,321,Latin America & Caribbean,Upper middle income
Peru,11,Latin America & Caribbean,Upper middle income
Philippines,1902,East Asia & Pacific,Lower middle income
Poland,No data,Europe & Central Asia,High income
Portugal,No data,Europe & Central Asia,High income
Qatar,21,Middle East & North Africa,High income
Republic of Korea,3,East Asia & Pacific,High income
Republic of Moldova,No data,Europe & Central Asia,Lower middle income
Romania,0,Europe & Central Asia,Upper middle income
Russian Federation,No data,Europe & Central Asia,Upper middle income
Rwanda,26,Sub-Saharan Africa,Low income
Saint Kitts and Nevis,No data,Latin America & Caribbean,High income
Saint Lucia,4,Latin America & Caribbean,Upper middle income
Saint Vincent and the Grenadines,2,Latin America & Caribbean,Upper middle income
Samoa,No data,East Asia & Pacific,Upper middle income
San Marino,No data,Europe & Central Asia,High income
Sao Tome and Principe,No data,Sub-Saharan Africa,Lower middle income
Saudi Arabia,9,Middle East & North Africa,High income
Senegal,235,Sub-Saharan Africa,Lower middle income
Serbia,No data,Europe & Central Asia,Upper middle income
Seychelles,0,Sub-Saharan Africa,High income
Sierra Leone,113,Sub-Saharan Africa,Low income
Singapore,6,East Asia & Pacific,High income
Slovakia,No data,Europe & Central Asia,High income
Slovenia,0,Europe & Central Asia,High income
Solomon Islands,41,East Asia & Pacific,Lower middle income
Somalia,1576,Sub-Saharan Africa,Low income
South Africa,86,Sub-Saharan Africa,Upper middle income
Spain,No data,Europe & Central Asia,High income
Sri Lanka,1877,South Asia,Upper middle income
Sudan,551,Sub-Saharan Africa,Lower middle income
Suriname,26,Latin America & Caribbean,Upper middle income
Eswatini,1,Sub-Saharan Africa,Lower middle income
Sweden,0,Europe & Central Asia,High income
Switzerland,0,Europe & Central Asia,High income
Syrian Arab Republic,2,Middle East & North Africa,Low income
Tajikistan,0,Europe & Central Asia,Low income
Thailand,164,East Asia & Pacific,Upper middle income
The former Yugoslav republic of Macedonia,No data,Europe & Central Asia,Upper middle income
Timor-Leste,106,East Asia & Pacific,Lower middle income
Togo,67,Sub-Saharan Africa,Low income
Tonga,No data,East Asia & Pacific,Upper middle income
Trinidad and Tobago,16,Latin America & Caribbean,High income
Tunisia,2,Middle East & North Africa,Lower middle income
Turkey,No data,Europe & Central Asia,Upper middle income
Turkmenistan,No data,Europe & Central Asia,Upper middle income
Tuvalu,0,East Asia & Pacific,Upper middle income
Uganda,211,Sub-Saharan Africa,Low income
Ukraine,No data,Europe & Central Asia,Lower middle income
United Arab Emirates,0,Middle East & North Africa,High income
United Kingdom of Great Britain and Northern Ireland,4,Europe & Central Asia,High income
United Republic of Tanzania,1936,Sub-Saharan Africa,Low income
United States of America,191,North America,High income
Uruguay,5,Latin America & Caribbean,High income
Uzbekistan,No data,Europe & Central Asia,Lower middle income
Vanuatu,2,East Asia & Pacific,Lower middle income
Venezuela (Bolivarian Republic of),332,Latin America & Caribbean,Upper middle income
Viet Nam,109,East Asia & Pacific,Lower middle income
Yemen,357,Middle East & North Africa,Low income
Zambia,204,Sub-Saharan Africa,Lower middle income
Zimbabwe,18,Sub-Saharan Africa,Lower middle income
South Sudan,No data,,
