"Natural Habitat Remaining"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
French Polynesia,Country,2007,Percent,-,1
Gabon,Country,2007,Percent,94%,
Gambia,Country,2007,Percent,30%,
Georgia,Country,2007,Percent,70%,
Germany,Country,2007,Percent,29%,
Ghana,Country,2007,Percent,66%,
Greece,Country,2007,Percent,54%,
Grenada,Country,2007,Percent,-,1
Guadeloupe,Country,2007,Percent,85%,
Guam,Country,2007,Percent,30%,
Guatemala,Country,2007,Percent,46%,
Guinea,Country,2007,Percent,72%,
Guinea-Bissau,Country,2007,Percent,88%,
Guyana,Country,2007,Percent,>95%,
Haiti,Country,2007,Percent,46%,
Honduras,Country,2007,Percent,43%,
"Hong Kong, SAR",Country,2007,Percent,39%,
Hungary,Country,2007,Percent,12%,
Iceland,Country,2007,Percent,>95%,
India,Country,2007,Percent,36%,
Indonesia,Country,2007,Percent,59%,
Iran,Country,2007,Percent,94%,
Iraq,Country,2007,Percent,>95%,
Ireland,Country,2007,Percent,92%,
Israel,Country,2007,Percent,80%,
Italy,Country,2007,Percent,47%,
Jamaica,Country,2007,Percent,46%,
Japan,Country,2007,Percent,65%,
Jordan,Country,2007,Percent,>95%,
Kazakhstan,Country,2007,Percent,77%,
Kenya,Country,2007,Percent,86%,
Kiribati,Country,2007,Percent,-,1
"Korea, North",Country,2007,Percent,77%,
"Korea, South",Country,2007,Percent,49%,
Kuwait,Country,2007,Percent,>95%,
Kyrgyzstan,Country,2007,Percent,73%,
Laos,Country,2007,Percent,31%,
Latvia,Country,2007,Percent,36%,
Lebanon,Country,2007,Percent,44%,
Lesotho,Country,2007,Percent,82%,
Liberia,Country,2007,Percent,30%,
Libya,Country,2007,Percent,>95%,
Liechtenstein,Country,2007,Percent,>95%,
Lithuania,Country,2007,Percent,22%,
Luxembourg,Country,2007,Percent,37%,
"Macao, SAR",Country,2007,Percent,-,1
Macedonia,Country,2007,Percent,-,1
Madagascar,Country,2007,Percent,77%,
Malawi,Country,2007,Percent,68%,
Malaysia,Country,2007,Percent,58%,
Maldives,Country,2007,Percent,90%,
Mali,Country,2007,Percent,80%,
Malta,Country,2007,Percent,-,1
Marshall Islands,Country,2007,Percent,-,1
Martinique,Country,2007,Percent,-,1
Mauritania,Country,2007,Percent,>95%,
Mauritius,Country,2007,Percent,-,1
Mayotte,Country,2007,Percent,46%,
Mexico,Country,2007,Percent,82%,
Moldova,Country,2007,Percent,13%,
Monaco,Country,2007,Percent,-,1
Mongolia,Country,2007,Percent,80%,
Montenegro,Country,2007,Percent,-,1
Morocco,Country,2007,Percent,77%,
Mozambique,Country,2007,Percent,87%,
Myanmar,Country,2007,Percent,37%,
Namibia,Country,2007,Percent,>95%,
Nauru,Country,2007,Percent,-,1
Nepal,Country,2007,Percent,54%,
Netherlands,Country,2007,Percent,25%,
New Caledonia,Country,2007,Percent,>95%,
New Zealand,Country,2007,Percent,66%,
Nicaragua,Country,2007,Percent,47%,
Niger,Country,2007,Percent,>95%,
Nigeria,Country,2007,Percent,50%,
Norway,Country,2007,Percent,89%,
Oman,Country,2007,Percent,>95%,
Pakistan,Country,2007,Percent,63%,
Palau,Country,2007,Percent,-,1
Palestinian Territory,Country,2007,Percent,87%,
Panama,Country,2007,Percent,53%,
Papua New Guinea,Country,2007,Percent,73%,
Paraguay,Country,2007,Percent,74%,
Peru,Country,2007,Percent,93%,
Philippines,Country,2007,Percent,28%,
Poland,Country,2007,Percent,26%,
Portugal,Country,2007,Percent,61%,
Puerto Rico,Country,2007,Percent,40%,
Qatar,Country,2007,Percent,>95%,
Reunion,Country,2007,Percent,-,1
Romania,Country,2007,Percent,33%,
Russia,Country,2007,Percent,87%,
Rwanda,Country,2007,Percent,41%,
Samoa,Country,2007,Percent,-,1
San Marino,Country,2007,Percent,12%,
Sao Tome and Principe,Country,2007,Percent,-,1
Saudi Arabia,Country,2007,Percent,>95%,
Senegal,Country,2007,Percent,41%,
Serbia,Country,2007,Percent,-,2|1
Seychelles,Country,2007,Percent,-,1
Sierra Leone,Country,2007,Percent,23%,
Singapore,Country,2007,Percent,<5%,
Slovakia,Country,2007,Percent,-,1
Slovenia,Country,2007,Percent,-,1
Solomon Islands,Country,2007,Percent,>95%,
Somalia,Country,2007,Percent,94%,
South Africa,Country,2007,Percent,77%,
Spain,Country,2007,Percent,40%,
Sri Lanka,Country,2007,Percent,46%,
St. Kitts-Nevis,Country,2007,Percent,66%,
St. Lucia,Country,2007,Percent,-,1
St. Vincent & the Grenadines,Country,2007,Percent,-,1
Sudan,Country,2007,Percent,76%,
Suriname,Country,2007,Percent,>95%,
Swaziland,Country,2007,Percent,>95%,
Sweden,Country,2007,Percent,86%,
Switzerland,Country,2007,Percent,88%,
Syria,Country,2007,Percent,89%,
Taiwan,Country,2007,Percent,79%,
Tajikistan,Country,2007,Percent,79%,
Tanzania,Country,2007,Percent,73%,
Thailand,Country,2007,Percent,19%,
Timor-Leste,Country,2007,Percent,<5%,
Togo,Country,2007,Percent,87%,
Tonga,Country,2007,Percent,-,1
Trinidad and Tobago,Country,2007,Percent,75%,
Tunisia,Country,2007,Percent,90%,
Turkey,Country,2007,Percent,28%,
Turkmenistan,Country,2007,Percent,>95%,
Tuvalu,Country,2007,Percent,-,1
Uganda,Country,2007,Percent,56%,
Ukraine,Country,2007,Percent,18%,
United Arab Emirates,Country,2007,Percent,>95%,
United Kingdom,Country,2007,Percent,63%,
United States,Country,2007,Percent,75%,
Uruguay,Country,2007,Percent,51%,
Uzbekistan,Country,2007,Percent,91%,
Vanuatu,Country,2007,Percent,94%,
Venezuela,Country,2007,Percent,80%,
Vietnam,Country,2007,Percent,22%,
Western Sahara,Country,2007,Percent,>95%,
Yemen,Country,2007,Percent,94%,
Zambia,Country,2007,Percent,89%,
Zimbabwe,Country,2007,Percent,64%,

"Source"
"PRB 2007 World Population Data Sheet"

"Footnotes"
1,"(-) Data unavailable, inapplicable, or not collected."
2,"Includes Kosovo"
