name,manf,age,type,colories,protein,fat,sodium,fiber,carb,sugar,shelf,potassium,vit,weight,serving
Honey_Nut_Cheerios,General_Mills,child,cold,110,3,1,250,1.5,11.5,10,1,90,25,1,0.75
Honey-comb,Post,child,cold,110,1,0,180,0,14,11,1,35,25,1,1.33
Just_Right_Crunchy__Nuggets,Kelloggs,adult,cold,110,2,1,170,1,17,6,3,60,100,1,-1
Just_Right_Fruit_&_Nut,Kelloggs,adult,cold,140,3,1,170,2,20,9,3,95,100,1.3,0.75
Kix,General_Mills,child,cold,110,2,1,260,0,21,3,2,40,25,1,1.5
Life,Quaker_Oats,child,cold,100,4,2,150,2,12,6,2,95,25,1,0.67
Lucky_Charms,General_Mills,child,cold,110,2,1,180,0,12,12,2,55,25,1,1
Maypo,American_Home,,hot,100,4,1,0,0,16,3,2,95,25,1,-1
Muesli_Raisins,,child,cold,,,,,,,,,,,,
Muesli_Raisins,,child,cold,,,,,,,,,,,,
Mueslix_Crispy_Blend,Kelloggs,child,cold,160,3,2,150,3,17,13,3,160,25,1.5,0.67
Multi-Grain_Cheerios,General_Mills,adult,cold,100,2,1,220,2,15,6,1,90,25,1,1
Nut&Honey_Crunch,Kelloggs,child,cold,120,2,1,190,0,15,9,2,40,25,1,0.67
Nutri-Grain_Almond-Raisin,Kelloggs,adult,cold,140,3,2,220,3,21,7,3,130,25,1.33,0.67
Nutri-grain_Wheat,Kelloggs,adult,cold,90,3,0,170,3,18,2,3,90,25,1,-1
Oatmeal_Raisin_Crisp,General_Mills,adult,cold,130,3,2,170,1.5,13.5,10,3,120,25,1.25,0.5
Post_Nat._Raisin_Bran,Post,adult,cold,120,3,1,200,6,11,14,3,260,25,1.33,0.67
Product_19,Kelloggs,adult,cold,100,3,0,320,1,20,3,3,45,100,1,1
Puffed_Rice,Quaker_Oats,child,cold,50,1,0,0,0,13,0,3,15,0,0.5,1
Puffed_Wheat,Quaker_Oats,child,cold,50,2,0,0,1,10,0,3,50,0,0.5,-1
Quaker_Oat_Squares,Quaker_Oats,adult,cold,100,4,1,135,2,14,6,3,110,25,1,0.5
Quaker_Oatmeal,Quaker_Oats,adult,hot,100,5,2,0,2.7,-1,-1,1,110,0,1,0.67
Raisin_Bran,Kelloggs,child,cold,120,3,1,210,5,14,12,2,240,25,1.33,0.75
Raisin_Nut_Bran,General_Mills,adult,cold,100,3,2,140,2.5,10.5,8,3,140,25,1,0.5
Raisin_Squares,Kelloggs,adult,cold,90,2,0,0,2,15,6,3,110,25,1,0.5
Rice_Chex,Ralston_Purina,child,cold,110,1,0,240,0,23,2,1,30,25,1,1.13
Rice_Krispies,Kelloggs,child,cold,110,2,0,290,0,22,3,1,35,25,1,1
Shredded_Wheat,Nabisco,adult,cold,80,2,0,0,3,16,0,1,95,0,0.83,-1
Shredded_Wheat_'n'Bran,Nabisco,adult,cold,90,3,0,0,4,19,0,1,140,0,1,0.67
Shredded_Wheat_spoon_size,Nabisco,adult,cold,90,3,0,0,3,20,0,1,120,0,1,0.67
Smacks,Kelloggs,child,cold,110,2,1,70,1,9,15,2,40,25,1,0.75
Special_K,Kelloggs,child,cold,110,6,0,230,1,16,3,1,55,25,1,1
Strawberry_Fruit_Wheats,Nabisco,adult,cold,90,2,0,15,3,15,5,2,90,25,1,-1
Total_Corn_Flakes,General_Mills,adult,cold,110,2,1,200,0,21,3,3,35,100,1,1
Total_Raisin_Bran,General_Mills,child,cold,140,3,1,190,4,15,14,3,230,100,1.5,1
Total_Whole_Grain,General_Mills,adult,cold,100,3,1,200,3,16,3,3,110,100,1,1
Triples,General_Mills,,cold,110,2,1,250,0,21,3,3,60,25,1,0.75
Trix,General_Mills,child,cold,110,1,1,140,0,13,12,2,25,25,1,1
Wheat_Chex,Ralston_Purina,child,cold,100,3,1,230,3,17,3,1,115,25,1,0.67
Wheaties,General_Mills,adult,cold,100,3,1,200,3,17,3,1,110,25,1,1
Wheaties_Honey_Gold,General_Mills,adult,cold,110,2,1,200,1,16,8,1,60,25,1,0.75
