Individual	locations
111	Urban                                                                                                                                                                                                                  
112	Urban                                                                                                                                                                                                                  
113	Urban                                                                                                                                                                                                                  
114	Urban                                                                                                                                                                                                                  
115	Urban                                                                                                                                                                                                                  
116	Urban                                                                                                                                                                                                                  
117	Urban                                                                                                                                                                                                                  
118	Urban                                                                                                                                                                                                                  
119	Urban                                                                                                                                                                                                                  
120	Urban                                                                                                                                                                                                                  
121	Urban                                                                                                                                                                                                                  
122	Urban                                                                                                                                                                                                                  
123	Urban                                                                                                                                                                                                                  
124	Urban                                                                                                                                                                                                                  
125	Urban                                                                                                                                                                                                                  
126	Urban                                                                                                                                                                                                                  
127	Urban                                                                                                                                                                                                                  
128	Urban                                                                                                                                                                                                                  
129	Urban                                                                                                                                                                                                                  
130	Urban                                                                                                                                                                                                                  
131	Urban                                                                                                                                                                                                                  
132	Urban                                                                                                                                                                                                                  
133	Urban                                                                                                                                                                                                                  
134	Urban                                                                                                                                                                                                                  
135	Urban                                                                                                                                                                                                                  
136	Urban                                                                                                                                                                                                                  
137	Urban                                                                                                                                                                                                                  
138	Urban                                                                                                                                                                                                                  
139	Urban                                                                                                                                                                                                                  
140	Urban                                                                                                                                                                                                                  
141	Urban                                                                                                                                                                                                                  
142	Urban                                                                                                                                                                                                                  
143	Urban                                                                                                                                                                                                                  
144	Urban                                                                                                                                                                                                                  
145	Urban                                                                                                                                                                                                                  
146	Urban                                                                                                                                                                                                                  
147	Urban                                                                                                                                                                                                                  
148	Urban                                                                                                                                                                                                                  
149	Urban                                                                                                                                                                                                                  
150	Urban                                                                                                                                                                                                                  
151	Urban                                                                                                                                                                                                                  
152	Urban                                                                                                                                                                                                                  
153	Urban                                                                                                                                                                                                                  
154	Urban                                                                                                                                                                                                                  
155	Urban                                                                                                                                                                                                                  
156	Urban                                                                                                                                                                                                                  
157	Urban                                                                                                                                                                                                                  
158	Urban                                                                                                                                                                                                                  
159	Urban                                                                                                                                                                                                                  
160	Urban                                                                                                                                                                                                                  
161	Urban                                                                                                                                                                                                                  
162	Urban                                                                                                                                                                                                                  
163	Urban                                                                                                                                                                                                                  
164	Urban                                                                                                                                                                                                                  
165	Urban                                                                                                                                                                                                                  
166	Urban                                                                                                                                                                                                                  
167	Urban                                                                                                                                                                                                                  
168	Urban                                                                                                                                                                                                                  
169	Urban                                                                                                                                                                                                                  
170	Urban                                                                                                                                                                                                                  
171	Urban                                                                                                                                                                                                                  
172	Urban                                                                                                                                                                                                                  
173	Urban                                                                                                                                                                                                                  
174	Urban                                                                                                                                                                                                                  
175	Urban                                                                                                                                                                                                                  
176	Urban                                                                                                                                                                                                                  
177	Urban                                                                                                                                                                                                                  
178	Urban                                                                                                                                                                                                                  
179	Urban                                                                                                                                                                                                                  
180	Urban                                                                                                                                                                                                                  
181	Urban                                                                                                                                                                                                                  
182	Urban                                                                                                                                                                                                                  
183	Urban                                                                                                                                                                                                                  
184	Urban                                                                                                                                                                                                                  
185	Urban                                                                                                                                                                                                                  
186	Urban                                                                                                                                                                                                                  
187	Urban                                                                                                                                                                                                                  
188	Urban                                                                                                                                                                                                                  
189	Urban                                                                                                                                                                                                                  
190	Urban                                                                                                                                                                                                                  
191	Urban                                                                                                                                                                                                                  
192	Urban                                                                                                                                                                                                                  
193	Urban                                                                                                                                                                                                                  
194	Urban                                                                                                                                                                                                                  
195	Urban                                                                                                                                                                                                                  
196	Urban                                                                                                                                                                                                                  
197	Urban                                                                                                                                                                                                                  
198	Urban                                                                                                                                                                                                                  
199	Urban                                                                                                                                                                                                                  
200	Urban                                                                                                                                                                                                                  
201	Urban                                                                                                                                                                                                                  
202	Urban                                                                                                                                                                                                                  
203	Urban                                                                                                                                                                                                                  
204	Urban                                                                                                                                                                                                                  
205	Urban                                                                                                                                                                                                                  
206	Urban                                                                                                                                                                                                                  
207	Urban                                                                                                                                                                                                                  
208	Urban                                                                                                                                                                                                                  
209	Urban                                                                                                                                                                                                                  
210	Urban                                                                                                                                                                                                                  
211	Urban                                                                                                                                                                                                                  
212	Urban                                                                                                                                                                                                                  
213	Urban                                                                                                                                                                                                                  
214	Urban                                                                                                                                                                                                                  
215	Urban                                                                                                                                                                                                                  
216	Urban                                                                                                                                                                                                                  
217	Urban                                                                                                                                                                                                                  
218	Urban                                                                                                                                                                                                                  
219	Urban                                                                                                                                                                                                                  
220	Urban                                                                                                                                                                                                                  
221	Urban                                                                                                                                                                                                                  
222	Urban                                                                                                                                                                                                                  
223	Urban                                                                                                                                                                                                                  
224	Urban                                                                                                                                                                                                                  
225	Urban                                                                                                                                                                                                                  
226	Urban                                                                                                                                                                                                                  
227	Urban                                                                                                                                                                                                                  
228	Urban                                                                                                                                                                                                                  
229	Urban                                                                                                                                                                                                                  
230	Urban                                                                                                                                                                                                                  
231	Urban                                                                                                                                                                                                                  
232	Urban                                                                                                                                                                                                                  
233	Urban                                                                                                                                                                                                                  
234	Urban                                                                                                                                                                                                                  
235	Urban                                                                                                                                                                                                                  
236	Urban                                                                                                                                                                                                                  
237	Urban                                                                                                                                                                                                                  
238	Urban                                                                                                                                                                                                                  
239	Urban                                                                                                                                                                                                                  
240	Urban                                                                                                                                                                                                                  
241	Urban                                                                                                                                                                                                                  
242	Urban                                                                                                                                                                                                                  
243	Urban                                                                                                                                                                                                                  
244	Urban                                                                                                                                                                                                                  
245	Urban                                                                                                                                                                                                                  
246	Urban                                                                                                                                                                                                                  
247	Urban                                                                                                                                                                                                                  
248	Urban                                                                                                                                                                                                                  
249	Urban                                                                                                                                                                                                                  
250	Urban                                                                                                                                                                                                                  
251	Urban                                                                                                                                                                                                                  
252	Urban                                                                                                                                                                                                                  
253	Urban                                                                                                                                                                                                                  
254	Urban                                                                                                                                                                                                                  
255	Urban                                                                                                                                                                                                                  
256	Urban                                                                                                                                                                                                                  
257	Urban                                                                                                                                                                                                                  
258	Urban                                                                                                                                                                                                                  
259	Urban                                                                                                                                                                                                                  
260	Urban                                                                                                                                                                                                                  
261	Urban                                                                                                                                                                                                                  
262	Urban                                                                                                                                                                                                                  
263	Urban                                                                                                                                                                                                                  
264	Urban                                                                                                                                                                                                                  
265	Urban                                                                                                                                                                                                                  
266	Urban                                                                                                                                                                                                                  
267	Urban                                                                                                                                                                                                                  
268	Urban                                                                                                                                                                                                                  
269	Urban                                                                                                                                                                                                                  
270	Urban                                                                                                                                                                                                                  
271	Urban                                                                                                                                                                                                                  
272	Urban                                                                                                                                                                                                                  
273	Urban                                                                                                                                                                                                                  
274	Urban                                                                                                                                                                                                                  
275	Urban                                                                                                                                                                                                                  
276	Urban                                                                                                                                                                                                                  
277	Urban                                                                                                                                                                                                                  
278	Urban                                                                                                                                                                                                                  
279	Urban                                                                                                                                                                                                                  
280	Urban                                                                                                                                                                                                                  
281	Urban                                                                                                                                                                                                                  
282	Urban                                                                                                                                                                                                                  
283	Urban                                                                                                                                                                                                                  
284	Urban                                                                                                                                                                                                                  
285	Urban                                                                                                                                                                                                                  
286	Urban                                                                                                                                                                                                                  
287	Urban                                                                                                                                                                                                                  
288	Urban                                                                                                                                                                                                                  
289	Urban                                                                                                                                                                                                                  
290	Urban                                                                                                                                                                                                                  
291	Urban                                                                                                                                                                                                                  
292	Urban                                                                                                                                                                                                                  
293	Urban                                                                                                                                                                                                                  
294	Urban                                                                                                                                                                                                                  
295	Urban                                                                                                                                                                                                                  
296	Urban                                                                                                                                                                                                                  
297	Urban                                                                                                                                                                                                                  
298	Urban                                                                                                                                                                                                                  
299	Urban                                                                                                                                                                                                                  
300	Urban                                                                                                                                                                                                                  
301	Urban                                                                                                                                                                                                                  
302	Urban                                                                                                                                                                                                                  
303	Urban                                                                                                                                                                                                                  
304	Urban                                                                                                                                                                                                                  
305	Urban                                                                                                                                                                                                                  
306	Urban                                                                                                                                                                                                                  
307	Urban                                                                                                                                                                                                                  
308	Urban                                                                                                                                                                                                                  
309	Urban                                                                                                                                                                                                                  
310	Urban                                                                                                                                                                                                                  
311	Urban                                                                                                                                                                                                                  
312	Urban                                                                                                                                                                                                                  
313	Urban                                                                                                                                                                                                                  
314	Urban                                                                                                                                                                                                                  
315	Urban                                                                                                                                                                                                                  
316	Urban                                                                                                                                                                                                                  
317	Urban                                                                                                                                                                                                                  
318	Urban                                                                                                                                                                                                                  
319	Urban                                                                                                                                                                                                                  
320	Urban                                                                                                                                                                                                                  
321	Urban                                                                                                                                                                                                                  
322	Urban                                                                                                                                                                                                                  
323	Urban                                                                                                                                                                                                                  
324	Urban                                                                                                                                                                                                                  
325	Urban                                                                                                                                                                                                                  
326	Urban                                                                                                                                                                                                                  
327	Urban                                                                                                                                                                                                                  
328	Urban                                                                                                                                                                                                                  
329	Urban                                                                                                                                                                                                                  
330	Urban                                                                                                                                                                                                                  
331	Urban                                                                                                                                                                                                                  
332	Urban                                                                                                                                                                                                                  
333	Urban                                                                                                                                                                                                                  
334	Urban                                                                                                                                                                                                                  
335	Urban                                                                                                                                                                                                                  
336	Urban                                                                                                                                                                                                                  
337	Urban                                                                                                                                                                                                                  
338	Urban                                                                                                                                                                                                                  
339	Urban                                                                                                                                                                                                                  
340	Urban                                                                                                                                                                                                                  
341	Urban                                                                                                                                                                                                                  
342	Urban                                                                                                                                                                                                                  
343	Urban                                                                                                                                                                                                                  
344	Urban                                                                                                                                                                                                                  
345	Urban                                                                                                                                                                                                                  
346	Urban                                                                                                                                                                                                                  
347	Urban                                                                                                                                                                                                                  
348	Urban                                                                                                                                                                                                                  
349	Urban                                                                                                                                                                                                                  
350	Urban                                                                                                                                                                                                                  
351	Urban                                                                                                                                                                                                                  
352	Urban                                                                                                                                                                                                                  
353	Urban                                                                                                                                                                                                                  
354	Urban                                                                                                                                                                                                                  
355	Urban                                                                                                                                                                                                                  
356	Urban                                                                                                                                                                                                                  
357	Urban                                                                                                                                                                                                                  
358	Urban                                                                                                                                                                                                                  
359	Urban                                                                                                                                                                                                                  
360	Urban                                                                                                                                                                                                                  
361	Urban                                                                                                                                                                                                                  
362	Urban                                                                                                                                                                                                                  
363	Urban                                                                                                                                                                                                                  
364	Urban                                                                                                                                                                                                                  
365	Urban                                                                                                                                                                                                                  
366	Urban                                                                                                                                                                                                                  
367	Urban                                                                                                                                                                                                                  
368	Urban                                                                                                                                                                                                                  
369	Urban                                                                                                                                                                                                                  
370	Urban                                                                                                                                                                                                                  
371	Urban                                                                                                                                                                                                                  
372	Urban                                                                                                                                                                                                                  
373	Urban                                                                                                                                                                                                                  
374	Urban                                                                                                                                                                                                                  
375	Urban                                                                                                                                                                                                                  
376	Urban                                                                                                                                                                                                                  
377	Urban                                                                                                                                                                                                                  
378	Urban                                                                                                                                                                                                                  
379	Urban                                                                                                                                                                                                                  
380	Urban                                                                                                                                                                                                                  
381	Urban                                                                                                                                                                                                                  
382	Urban                                                                                                                                                                                                                  
383	Urban                                                                                                                                                                                                                  
384	Urban                                                                                                                                                                                                                  
385	Urban                                                                                                                                                                                                                  
386	Urban                                                                                                                                                                                                                  
387	Urban                                                                                                                                                                                                                  
388	Urban                                                                                                                                                                                                                  
389	Urban                                                                                                                                                                                                                  
390	Urban                                                                                                                                                                                                                  
391	Urban                                                                                                                                                                                                                  
392	Urban                                                                                                                                                                                                                  
393	Urban                                                                                                                                                                                                                  
394	Urban                                                                                                                                                                                                                  
395	Urban                                                                                                                                                                                                                  
396	Urban                                                                                                                                                                                                                  
397	Urban                                                                                                                                                                                                                  
398	Urban                                                                                                                                                                                                                  
399	Urban                                                                                                                                                                                                                  
400	Urban                                                                                                                                                                                                                  
401	Urban                                                                                                                                                                                                                  
402	suburban                                                                                                                                                                                                               
403	suburban                                                                                                                                                                                                               
404	suburban                                                                                                                                                                                                               
405	suburban                                                                                                                                                                                                               
406	suburban                                                                                                                                                                                                               
407	suburban                                                                                                                                                                                                               
408	suburban                                                                                                                                                                                                               
409	suburban                                                                                                                                                                                                               
410	suburban                                                                                                                                                                                                               
411	suburban                                                                                                                                                                                                               
412	suburban                                                                                                                                                                                                               
413	suburban                                                                                                                                                                                                               
414	suburban                                                                                                                                                                                                               
415	suburban                                                                                                                                                                                                               
416	suburban                                                                                                                                                                                                               
417	suburban                                                                                                                                                                                                               
418	suburban                                                                                                                                                                                                               
419	suburban                                                                                                                                                                                                               
420	suburban                                                                                                                                                                                                               
421	suburban                                                                                                                                                                                                               
422	suburban                                                                                                                                                                                                               
423	suburban                                                                                                                                                                                                               
424	suburban                                                                                                                                                                                                               
425	suburban                                                                                                                                                                                                               
426	suburban                                                                                                                                                                                                               
427	suburban                                                                                                                                                                                                               
428	suburban                                                                                                                                                                                                               
429	suburban                                                                                                                                                                                                               
430	suburban                                                                                                                                                                                                               
431	suburban                                                                                                                                                                                                               
432	suburban                                                                                                                                                                                                               
433	suburban                                                                                                                                                                                                               
434	suburban                                                                                                                                                                                                               
435	suburban                                                                                                                                                                                                               
436	suburban                                                                                                                                                                                                               
437	suburban                                                                                                                                                                                                               
438	suburban                                                                                                                                                                                                               
439	suburban                                                                                                                                                                                                               
440	suburban                                                                                                                                                                                                               
441	suburban                                                                                                                                                                                                               
442	suburban                                                                                                                                                                                                               
443	suburban                                                                                                                                                                                                               
444	suburban                                                                                                                                                                                                               
445	suburban                                                                                                                                                                                                               
446	suburban                                                                                                                                                                                                               
447	suburban                                                                                                                                                                                                               
448	suburban                                                                                                                                                                                                               
449	suburban                                                                                                                                                                                                               
450	suburban                                                                                                                                                                                                               
451	suburban                                                                                                                                                                                                               
452	suburban                                                                                                                                                                                                               
453	suburban                                                                                                                                                                                                               
454	suburban                                                                                                                                                                                                               
455	suburban                                                                                                                                                                                                               
456	suburban                                                                                                                                                                                                               
457	suburban                                                                                                                                                                                                               
458	suburban                                                                                                                                                                                                               
459	suburban                                                                                                                                                                                                               
460	suburban                                                                                                                                                                                                               
461	suburban                                                                                                                                                                                                               
462	suburban                                                                                                                                                                                                               
463	suburban                                                                                                                                                                                                               
464	suburban                                                                                                                                                                                                               
465	suburban                                                                                                                                                                                                               
466	suburban                                                                                                                                                                                                               
467	suburban                                                                                                                                                                                                               
468	suburban                                                                                                                                                                                                               
469	suburban                                                                                                                                                                                                               
470	suburban                                                                                                                                                                                                               
471	suburban                                                                                                                                                                                                               
472	suburban                                                                                                                                                                                                               
473	suburban                                                                                                                                                                                                               
474	suburban                                                                                                                                                                                                               
475	suburban                                                                                                                                                                                                               
476	suburban                                                                                                                                                                                                               
477	suburban                                                                                                                                                                                                               
478	suburban                                                                                                                                                                                                               
479	suburban                                                                                                                                                                                                               
480	suburban                                                                                                                                                                                                               
481	suburban                                                                                                                                                                                                               
482	suburban                                                                                                                                                                                                               
483	suburban                                                                                                                                                                                                               
484	suburban                                                                                                                                                                                                               
485	suburban                                                                                                                                                                                                               
486	suburban                                                                                                                                                                                                               
487	suburban                                                                                                                                                                                                               
488	suburban                                                                                                                                                                                                               
489	suburban                                                                                                                                                                                                               
490	suburban                                                                                                                                                                                                               
491	suburban                                                                                                                                                                                                               
492	suburban                                                                                                                                                                                                               
493	suburban                                                                                                                                                                                                               
494	suburban                                                                                                                                                                                                               
495	suburban                                                                                                                                                                                                               
496	suburban                                                                                                                                                                                                               
497	suburban                                                                                                                                                                                                               
498	suburban                                                                                                                                                                                                               
499	largerural                                                                                                                                                                                                             
500	largerural                                                                                                                                                                                                             
501	largerural                                                                                                                                                                                                             
502	largerural                                                                                                                                                                                                             
503	largerural                                                                                                                                                                                                             
504	largerural                                                                                                                                                                                                             
505	largerural                                                                                                                                                                                                             
506	largerural                                                                                                                                                                                                             
507	largerural                                                                                                                                                                                                             
508	largerural                                                                                                                                                                                                             
509	largerural                                                                                                                                                                                                             
510	largerural                                                                                                                                                                                                             
511	largerural                                                                                                                                                                                                             
512	largerural                                                                                                                                                                                                             
513	largerural                                                                                                                                                                                                             
514	largerural                                                                                                                                                                                                             
515	largerural                                                                                                                                                                                                             
516	largerural                                                                                                                                                                                                             
517	largerural                                                                                                                                                                                                             
518	largerural                                                                                                                                                                                                             
519	largerural                                                                                                                                                                                                             
520	largerural                                                                                                                                                                                                             
521	largerural                                                                                                                                                                                                             
522	largerural                                                                                                                                                                                                             
523	largerural                                                                                                                                                                                                             
524	largerural                                                                                                                                                                                                             
525	largerural                                                                                                                                                                                                             
526	largerural                                                                                                                                                                                                             
527	largerural                                                                                                                                                                                                             
528	largerural                                                                                                                                                                                                             
529	largerural                                                                                                                                                                                                             
530	largerural                                                                                                                                                                                                             
531	largerural                                                                                                                                                                                                             
532	largerural                                                                                                                                                                                                             
533	largerural                                                                                                                                                                                                             
534	largerural                                                                                                                                                                                                             
535	largerural                                                                                                                                                                                                             
536	largerural                                                                                                                                                                                                             
537	largerural                                                                                                                                                                                                             
538	largerural                                                                                                                                                                                                             
539	largerural                                                                                                                                                                                                             
540	largerural                                                                                                                                                                                                             
541	largerural                                                                                                                                                                                                             
542	largerural                                                                                                                                                                                                             
543	largerural                                                                                                                                                                                                             
544	largerural                                                                                                                                                                                                             
545	largerural                                                                                                                                                                                                             
546	largerural                                                                                                                                                                                                             
547	largerural                                                                                                                                                                                                             
548	largerural                                                                                                                                                                                                             
549	largerural                                                                                                                                                                                                             
550	largerural                                                                                                                                                                                                             
551	largerural                                                                                                                                                                                                             
552	largerural                                                                                                                                                                                                             
553	largerural                                                                                                                                                                                                             
554	largerural                                                                                                                                                                                                             
555	largerural                                                                                                                                                                                                             
556	largerural                                                                                                                                                                                                             
557	largerural                                                                                                                                                                                                             
558	largerural                                                                                                                                                                                                             
559	largerural                                                                                                                                                                                                             
560	largerural                                                                                                                                                                                                             
561	largerural                                                                                                                                                                                                             
562	largerural                                                                                                                                                                                                             
563	largerural                                                                                                                                                                                                             
564	largerural                                                                                                                                                                                                             
565	largerural                                                                                                                                                                                                             
566	largerural                                                                                                                                                                                                             
567	largerural                                                                                                                                                                                                             
568	largerural                                                                                                                                                                                                             
569	largerural                                                                                                                                                                                                             
570	largerural                                                                                                                                                                                                             
571	largerural                                                                                                                                                                                                             
572	largerural                                                                                                                                                                                                             
573	largerural                                                                                                                                                                                                             
574	largerural                                                                                                                                                                                                             
575	largerural                                                                                                                                                                                                             
576	largerural                                                                                                                                                                                                             
577	largerural                                                                                                                                                                                                             
578	largerural                                                                                                                                                                                                             
579	largerural                                                                                                                                                                                                             
580	largerural                                                                                                                                                                                                             
581	largerural                                                                                                                                                                                                             
582	largerural                                                                                                                                                                                                             
583	largerural                                                                                                                                                                                                             
584	largerural                                                                                                                                                                                                             
585	smallrural                                                                                                                                                                                                             
586	smallrural                                                                                                                                                                                                             
587	smallrural                                                                                                                                                                                                             
588	smallrural                                                                                                                                                                                                             
589	smallrural                                                                                                                                                                                                             
590	smallrural                                                                                                                                                                                                             
591	smallrural                                                                                                                                                                                                             
592	smallrural                                                                                                                                                                                                             
593	smallrural                                                                                                                                                                                                             
594	smallrural                                                                                                                                                                                                             
595	smallrural                                                                                                                                                                                                             
596	smallrural                                                                                                                                                                                                             
597	smallrural                                                                                                                                                                                                             
598	smallrural                                                                                                                                                                                                             
599	smallrural                                                                                                                                                                                                             
600	smallrural                                                                                                                                                                                                             
601	smallrural                                                                                                                                                                                                             
602	smallrural                                                                                                                                                                                                             
603	smallrural                                                                                                                                                                                                             
604	smallrural                                                                                                                                                                                                             
605	smallrural                                                                                                                                                                                                             
606	smallrural                                                                                                                                                                                                             
607	smallrural                                                                                                                                                                                                             
608	smallrural                                                                                                                                                                                                             
609	smallrural                                                                                                                                                                                                             
610	smallrural                                                                                                                                                                                                             
611	smallrural                                                                                                                                                                                                             
612	smallrural                                                                                                                                                                                                             
613	smallrural                                                                                                                                                                                                             
614	smallrural                                                                                                                                                                                                             
615	smallrural                                                                                                                                                                                                             
616	smallrural                                                                                                                                                                                                             
617	smallrural                                                                                                                                                                                                             
618	smallrural                                                                                                                                                                                                             
619	smallrural                                                                                                                                                                                                             
620	smallrural                                                                                                                                                                                                             
621	smallrural                                                                                                                                                                                                             
622	smallrural                                                                                                                                                                                                             
623	smallrural                                                                                                                                                                                                             
624	smallrural                                                                                                                                                                                                             
625	smallrural                                                                                                                                                                                                             
626	smallrural                                                                                                                                                                                                             
627	smallrural                                                                                                                                                                                                             
628	smallrural                                                                                                                                                                                                             
629	smallrural                                                                                                                                                                                                             
630	smallrural                                                                                                                                                                                                             
631	smallrural                                                                                                                                                                                                             
632	smallrural                                                                                                                                                                                                             
633	smallrural                                                                                                                                                                                                             
634	smallrural                                                                                                                                                                                                             
635	smallrural                                                                                                                                                                                                             
636	smallrural                                                                                                                                                                                                             
637	smallrural                                                                                                                                                                                                             
638	smallrural                                                                                                                                                                                                             
639	smallrural                                                                                                                                                                                                             
640	smallrural                                                                                                                                                                                                             
641	smallrural                                                                                                                                                                                                             
642	smallrural                                                                                                                                                                                                             
643	smallrural                                                                                                                                                                                                             
644	smallrural                                                                                                                                                                                                             
645	smallrural                                                                                                                                                                                                             
646	smallrural                                                                                                                                                                                                             
647	smallrural                                                                                                                                                                                                             
648	smallrural                                                                                                                                                                                                             
649	smallrural                                                                                                                                                                                                             
650	smallrural                                                                                                                                                                                                             
651	smallrural                                                                                                                                                                                                             
652	smallrural                                                                                                                                                                                                             
653	smallrural                                                                                                                                                                                                             
654	smallrural                                                                                                                                                                                                             
655	smallrural                                                                                                                                                                                                             
656	smallrural                                                                                                                                                                                                             
657	smallrural                                                                                                                                                                                                             
658	smallrural                                                                                                                                                                                                             
659	smallrural                                                                                                                                                                                                             
660	smallrural                                                                                                                                                                                                             
661	smallrural                                                                                                                                                                                                             
662	smallrural                                                                                                                                                                                                             
663	smallrural                                                                                                                                                                                                             
664	smallrural                                                                                                                                                                                                             
665	smallrural                                                                                                                                                                                                             
666	smallrural                                                                                                                                                                                                             
667	smallrural                                                                                                                                                                                                             
668	smallrural                                                                                                                                                                                                             
669	smallrural                                                                                                                                                                                                             
670	smallrural                                                                                                                                                                                                             
671	smallrural                                                                                                                                                                                                             
672	smallrural                                                                                                                                                                                                             
673	smallrural                                                                                                                                                                                                             
674	smallrural                                                                                                                                                                                                             
675	smallrural                                                                                                                                                                                                             
676	smallrural                                                                                                                                                                                                             
677	smallrural                                                                                                                                                                                                             
678	smallrural                                                                                                                                                                                                             
679	smallrural                                                                                                                                                                                                             
680	smallrural                                                                                                                                                                                                             
681	smallrural                                                                                                                                                                                                             
682	smallrural                                                                                                                                                                                                             
683	smallrural                                                                                                                                                                                                             
684	smallrural                                                                                                                                                                                                             
685	smallrural                                                                                                                                                                                                             
686	smallrural                                                                                                                                                                                                             
687	smallrural                                                                                                                                                                                                             
688	smallrural                                                                                                                                                                                                             
689	smallrural                                                                                                                                                                                                             
690	smallrural                                                                                                                                                                                                             
691	smallrural                                                                                                                                                                                                             
692	smallrural                                                                                                                                                                                                             
693	smallrural                                                                                                                                                                                                             
694	smallrural                                                                                                                                                                                                             
695	smallrural                                                                                                                                                                                                             
