OCC_TITLE,TOT_EMP_NY,H_MEAN_NY,A_MEAN_NY,H_MEDIAN_NY,A_MEDIAN_NY,TOT_EMP_SF,H_MEAN_SF,A_MEAN_SF,H_MEDIAN_SF,A_MEDIAN_SF
Computer and Information Research Scientists,"1,370",66.99,"139,340",65.89,"137,040","2,840",42.8,"89,020",41.3,"85,890"
Computer Network Support Specialists,"11,710",42.51,"88,430",40.56,"84,360","15,640",37.82,"78,670",36.32,"75,540"
Computer User Support Specialists,"38,220",31.34,"65,180",29.61,"61,580","4,550",71.27,"148,250",72.7,"151,220"
Computer Network Architects,"10,770",63.27,"131,600",63.86,"132,820","6,700",51.3,"106,700",49.23,"102,400"
Network and Computer Systems Administrators,"25,200",50.99,"106,060",48.81,"101,520","3,830",55.16,"114,730",52.98,"110,200"
Database Administrators and Architects,"9,460",57.36,"119,320",56.88,"118,320","5,690",60.3,"125,420",59.8,"124,380"
Computer Programmers,"13,540",46.28,"96,270",43.03,"89,490","64,310",69.59,"144,740",69.34,"144,230"
Software Developers and Software Quality Assurance Analysts and Testers,"104,470",59.43,"123,600",57.27,"119,120","5,990",54.76,"113,910",54.81,"114,000"
Web Developers and Digital Interface Designers,"13,380",43.89,"91,290",40.67,"84,600","21,270",60.33,"125,480",54.81,"114,010"
"Computer Occupations, All Other","11,340",45.36,"94,350",44.45,"92,450",380,53.12,"110,500",52.49,"109,180"
Actuaries,"2,870",71.27,"148,230",62.67,"130,360",50,65.38,"135,980",68.38,"142,240"
Mathematicians,170,58.96,"122,630",50.06,"104,130","2,040",54.69,"113,760",54.61,"113,580"
Operations Research Analysts,"7,330",55.41,"115,250",49.91,"103,810","1,910",61.1,"127,080",61.03,"126,940"
Statisticians,"1,720",53.9,"112,100",52.26,"108,700","3,170",71.48,"148,680",69.05,"143,620"
"Data Scientists and Mathematical Science Occupations, All Other","4,730",62.14,"129,250",58.47,"121,610","54,910",51.08,"106,250",48.77,"101,430"
Architecture and Engineering Occupations,"92,550",46.57,"96,870",43.04,"89,520","4,580",49.43,"102,810",48.53,"100,940"
"Architects, Except Landscape and Naval","11,850",47.74,"99,300",42.71,"88,840",660,46.82,"97,390",38.79,"80,680"
Landscape Architects,"1,070",42.96,"89,350",40.71,"84,670",140,52.61,"109,420",54.37,"113,080"
Cartographers and Photogrammetrists,170,44.69,"92,950",45.01,"93,620",850,44.88,"93,350",44.87,"93,340"
Surveyors,"1,620",44.44,"92,430",42.36,"88,110",**,61.47,"127,850",62.83,"130,680"
Aerospace Engineers,**,57.35,"119,280",55.26,"114,930",610,59.09,"122,900",59.36,"123,480"
Bioengineers and Biomedical Engineers,730,50.61,"105,270",49.94,"103,870",390,51.78,"107,710",49.69,"103,360"
Chemical Engineers,"1,000",56.66,"117,850",56.93,"118,420","9,830",57.62,"119,860",56.52,"117,570"
Civil Engineers,"14,140",51.94,"108,040",47.3,"98,390","2,250",64.88,"134,950",53.15,"110,550"
Computer Hardware Engineers,"1,830",61.07,"127,030",59.13,"122,990","3,640",58.99,"122,690",58.99,"122,690"
Electrical Engineers,"7,290",54.54,"113,450",52.16,"108,490","2,430",57.16,"118,890",57.12,"118,820"
"Electronics Engineers, Except Computer","3,900",55.33,"115,090",54.5,"113,360","1,220",59.72,"124,210",59.46,"123,670"
Environmental Engineers,"2,610",50.64,"105,340",47.46,"98,720",210,56.64,"117,810",57.72,"120,060"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","1,310",51.63,"107,390",50.78,"105,610","2,640",55.83,"116,120",51.73,"107,600"
Industrial Engineers,"7,710",48.94,"101,790",46.66,"97,050",**,62.15,"129,280",62.45,"129,890"
Marine Engineers and Naval Architects,270,*,*,*,*,250,50.06,"104,130",47.21,"98,200"
Materials Engineers,600,50.81,"105,680",49.38,"102,710","3,330",59.71,"124,190",59.38,"123,520"
Mechanical Engineers,"8,570",49.5,"102,970",46.89,"97,530","5,700",55.88,"116,240",54.5,"113,360"
"Mining and Geological Engineers, Including Mining Safety Engineers",30,41.4,"86,120",39.94,"83,080","2,680",32.07,"66,700",30.78,"64,020"
Nuclear Engineers,140,58.2,"121,060",54.59,"113,540",410,32.61,"67,830",30.03,"62,460"
"Engineers, All Other","4,720",53.71,"111,730",55.4,"115,240",770,35.15,"73,110",34.5,"71,760"
Architectural and Civil Drafters,"7,430",31.57,"65,660",30.19,"62,790",210,35.27,"73,360",31.66,"65,850"
Electrical and Electronics Drafters,"1,010",39.75,"82,680",39.2,"81,530",890,41.89,"87,120",40.86,"84,990"
Mechanical Drafters,"1,810",33.23,"69,120",31.15,"64,790","3,340",34.94,"72,680",34.92,"72,630"
"Drafters, All Other",500,33.71,"70,110",32.13,"66,830",290,26.88,"55,920",23.92,"49,750"
Aerospace Engineering and Operations Technologists and Technicians,**,31.27,"65,030",29.67,"61,720",590,30.76,"63,980",28.38,"59,020"
Civil Engineering Technologists and Technicians,"1,830",28.21,"58,690",27.74,"57,710",**,30.29,"63,010",30.09,"62,590"
Electrical and Electronic Engineering Technologists and Technicians,"3,620",35.71,"74,270",35.08,"72,970",310,33.25,"69,160",30.33,"63,090"
Electro-Mechanical and Mechatronics Technologists and Technicians,250,33.4,"69,470",30.51,"63,460",690,37.74,"78,500",37.88,"78,780"
Environmental Engineering Technologists and Technicians,480,27.93,"58,100",26.39,"54,900","2,110",31.43,"65,380",28.32,"58,900"
Industrial Engineering Technologists and Technicians,"1,250",27.01,"56,180",26.81,"55,770","40,600",51.53,"107,190",49.57,"103,110"
Mechanical Engineering Technologists and Technicians,"1,010",27.53,"57,270",26.99,"56,140",260,48.65,"101,180",47.56,"98,920"
Surveying and Mapping Technicians,860,29.36,"61,080",28.46,"59,190",150,32.78,"68,180",30.53,"63,500"
"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other","2,100",31.89,"66,330",29.96,"62,320",**,61.9,"128,750",58.45,"121,580"
"Life, Physical, and Social Science Occupations","72,700",43.02,"89,480",37.78,"78,580",520,37.71,"78,440",35.07,"72,950"
Food Scientists and Technologists,"1,250",41.79,"86,930",38.6,"80,290","3,330",51.61,"107,350",49.96,"103,910"
Soil and Plant Scientists,90,38.94,"80,990",36.55,"76,020",290,44.73,"93,030",44.06,"91,640"
Biochemists and Biophysicists,"4,100",53.87,"112,040",49.69,"103,350",**,46.07,"95,820",49.56,"103,070"
Microbiologists,"1,440",47.65,"99,120",44.66,"92,890",150,54.95,"114,300",51.73,"107,590"
Zoologists and Wildlife Biologists,180,42.43,"88,260",41.21,"85,720","6,300",62.62,"130,250",60.83,"126,520"
"Biological Scientists, All Other",820,43.44,"90,340",45.82,"95,300",130,79.05,"164,420",66.17,"137,630"
Conservation Scientists,370,37.52,"78,050",35.33,"73,480",**,55.88,"116,230",55.31,"115,040"
Foresters,80,32.4,"67,390",30.15,"62,700","2,290",48.5,"100,880",49.52,"103,000"
Epidemiologists,270,64.7,"134,580",55.63,"115,710",210,52.17,"108,510",50.44,"104,920"
"Medical Scientists, Except Epidemiologists","8,920",56.06,"116,610",49.64,"103,260","3,180",54.01,"112,340",54.13,"112,590"
"Life Scientists, All Other",410,41.09,"85,470",36.24,"75,380",740,*,*,*,*
Physicists,"1,050",76.58,"159,290",69.96,"145,520",150,55.47,"115,380",56.32,"117,140"
Atmospheric and Space Scientists,560,50.49,"105,020",53.62,"111,530",360,58.79,"122,290",60.64,"126,130"
Chemists,"7,340",46.73,"97,200",42.63,"88,660",900,71.63,"148,980",60.75,"126,370"
Materials Scientists,260,50.89,"105,860",49.97,"103,940",250,42.01,"87,390",38.59,"80,260"
"Environmental Scientists and Specialists, Including Health","3,870",40.13,"83,470",36.35,"75,600","2,930",52.36,"108,920",48.99,"101,900"
"Geoscientists, Except Hydrologists and Geographers",560,40.6,"84,440",38,"79,050",200,*,*,*,*
Hydrologists,190,49.37,"102,690",45.03,"93,660",380,48.12,"100,090",47.68,"99,170"
"Physical Scientists, All Other",680,51.53,"107,180",50.69,"105,430","1,410",51.83,"107,810",52.77,"109,770"
Economists,820,73.85,"153,610",58.67,"122,040",140,41.22,"85,730",38.04,"79,130"
Survey Researchers,470,42.22,"87,810",39.7,"82,580",580,47.15,"98,070",47.19,"98,150"
"Clinical, Counseling, and School Psychologists","9,550",49.15,"102,230",45.06,"93,730",240,25.48,"53,000",24.37,"50,690"
"Psychologists, All Other",450,45.65,"94,960",51.15,"106,380","1,720",29.07,"60,470",28.55,"59,370"
Sociologists,120,37.18,"77,340",26.33,"54,760","1,140",26.36,"54,820",25.01,"52,020"
Urban and Regional Planners,"1,260",46.68,"97,090",40.6,"84,460","1,030",28.54,"59,360",26.4,"54,920"
Anthropologists and Archeologists,90,38.27,"79,600",37.46,"77,910",100,35.68,"74,220",34.83,"72,440"
Historians,130,*,*,*,*,460,26.77,"55,670",24.69,"51,350"
Political Scientists,40,63.04,"131,110",61.89,"128,730",**,26.34,"54,780",28.46,"59,200"
"Social Scientists and Related Workers, All Other","2,070",45.83,"95,330",44.64,"92,860",220,51.14,"106,360",50.16,"104,340"
Agricultural and Food Science Technicians,380,24.05,"50,020",22.89,"47,600","2,230",34.29,"71,310",29.61,"61,590"
Biological Technicians,"3,570",27.29,"56,770",26.76,"55,670","1,370",53.97,"112,250",52.97,"110,170"
Chemical Technicians,"3,990",27.95,"58,140",24.89,"51,780",340,30.7,"63,860",31.32,"65,150"
"Environmental Science and Protection Technicians, Including Health","1,390",26.18,"54,460",24.41,"50,780","38,900",32.87,"68,370",29.07,"60,470"
Geological and Hydrologic Technicians,380,56.33,"117,170",46.55,"96,830","3,840",38.52,"80,120",35.17,"73,140"
Social Science Research Assistants,"3,040",26.36,"54,830",23.58,"49,050","3,320",33.47,"69,620",31.44,"65,390"
Forest and Conservation Technicians,**,21.98,"45,720",21.98,"45,710","1,220",25.11,"52,220",26.26,"54,620"
Forensic Science Technicians,680,33.3,"69,270",31.38,"65,270","4,260",30.59,"63,630",27.69,"57,590"
"Life, Physical, and Social Science Technicians, All Other","6,800",28.69,"59,680",28.06,"58,370",500,33.12,"68,900",34.43,"71,620"
Occupational Health and Safety Specialists,"3,750",39.89,"82,970",39.24,"81,610","3,950",30.52,"63,490",25.63,"53,320"
Occupational Health and Safety Technicians,"1,030",30.27,"62,960",29.42,"61,190","2,730",48.27,"100,410",46.36,"96,430"
Community and Social Service Occupations,"172,960",28.39,"59,040",25.89,"53,850","1,840",41.18,"85,650",41.8,"86,940"
"Educational, Guidance, and Career Counselors and Advisors","21,820",35.9,"74,670",33.39,"69,450","1,570",39.18,"81,490",40.65,"84,540"
Marriage and Family Therapists,"3,760",34,"70,710",33.59,"69,870","1,260",37.29,"77,550",38.53,"80,130"
Rehabilitation Counselors,"4,730",19.61,"40,790",17.46,"36,320",820,50.15,"104,320",49.92,"103,830"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","17,840",29.48,"61,320",27.76,"57,740","6,600",23.29,"48,430",21.82,"45,380"
"Counselors, All Other","1,170",32.16,"66,890",26.44,"54,990","1,020",27.82,"57,860",27.02,"56,200"
"Child, Family, and School Social Workers","21,510",32.35,"67,290",29.58,"61,520","4,430",29.1,"60,540",27.84,"57,900"
Healthcare Social Workers,"15,860",31.03,"64,540",29.72,"61,810",910,34.71,"72,200",32.75,"68,120"
Mental Health and Substance Abuse Social Workers,"8,980",33.9,"70,520",31.37,"65,250",510,35.86,"74,590",34.58,"71,930"
"Social Workers, All Other","2,930",35.94,"74,750",36.06,"75,000",100,28.88,"60,070",27.23,"56,630"
Health Education Specialists,"2,950",28.62,"59,530",27.26,"56,690","26,020",76.39,"158,890",65.99,"137,250"
Probation Officers and Correctional Treatment Specialists,"4,290",36.26,"75,410",36.5,"75,910","16,740",97.08,"201,920",88.33,"183,720"
Social and Human Service Assistants,"39,470",19.38,"40,300",18.4,"38,280",160,32.84,"68,300",34.57,"71,910"
Community Health Workers,"5,510",23.09,"48,040",21.27,"44,240",360,63.07,"131,190",65.99,"137,260"
"Community and Social Service Specialists, All Other","12,710",28.37,"59,020",27.17,"56,500",90,50.67,"105,400",51.54,"107,200"
Clergy,"4,950",28.04,"58,320",24.77,"51,520",280,101.89,"211,940",#,#
"Directors, Religious Activities and Education","3,520",26.74,"55,610",22.41,"46,620","6,390",36.45,"75,820",34.26,"71,270"
"Religious Workers, All Other",930,19.48,"40,530",16.45,"34,210",**,33.02,"68,680",30.87,"64,210"
Legal Occupations,"116,430",71.02,"147,730",58.39,"121,460","140,200",34.68,"72,130",29.33,"61,000"
Lawyers,"81,650",86.62,"180,160",77.86,"161,950",800,*,"99,060",*,"80,740"
Judicial Law Clerks,500,33.49,"69,670",25.25,"52,530",210,*,"137,960",*,"135,940"
"Administrative Law Judges, Adjudicators, and Hearing Officers","1,360",52.65,"109,510",52.4,"108,990",810,*,"108,260",*,"93,030"
"Arbitrators, Mediators, and Conciliators",470,39.66,"82,480",38.28,"79,610",200,*,"114,570",*,"115,300"
"Judges, Magistrate Judges, and Magistrates","1,610",77.22,"160,620",81.84,"170,230",380,*,"122,380",*,"123,770"
Paralegals and Legal Assistants,"27,600",31.18,"64,850",28.71,"59,730",170,*,"105,330",*,"90,040"
"Title Examiners, Abstractors, and Searchers","1,340",32.84,"68,300",32.84,"68,310",190,*,"107,480",*,"108,620"
"Legal Support Workers, All Other","1,910",32.24,"67,050",28.17,"58,600",**,*,"98,810",*,"74,460"
Educational Instruction and Library Occupations,"652,260",36.88,"76,710",32.3,"67,180",80,*,"114,730",*,"116,820"
"Business Teachers, Postsecondary","7,760",*,"125,130",*,"107,470",50,*,"109,260",*,"116,800"
"Computer Science Teachers, Postsecondary","2,910",*,"115,040",*,"104,650",110,*,"143,090",*,"135,090"
"Mathematical Science Teachers, Postsecondary","4,050",*,"114,960",*,"104,240",40,*,"132,650",*,"134,370"
"Architecture Teachers, Postsecondary",850,*,"138,930",*,"128,660",40,*,"95,720",*,"104,210"
"Engineering Teachers, Postsecondary","1,660",*,"131,690",*,"123,320",70,*,"104,580",*,"99,280"
"Agricultural Sciences Teachers, Postsecondary",160,*,"105,340",*,"95,910",850,*,"112,110",*,"108,140"
"Biological Science Teachers, Postsecondary","4,130",*,"119,770",*,"110,290",80,*,"93,840",*,"91,310"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","1,370",*,"124,300",*,"119,160",310,*,"119,760",*,"110,040"
"Chemistry Teachers, Postsecondary","2,090",*,"112,410",*,"101,130","1,280",*,*,*,*
"Environmental Science Teachers, Postsecondary",420,*,"113,930",*,"102,610",490,*,"108,680",*,"96,880"
"Physics Teachers, Postsecondary","1,090",*,"119,430",*,"111,540",50,*,"89,290",*,"75,160"
"Anthropology and Archeology Teachers, Postsecondary",630,*,"127,900",*,"118,680",**,*,"109,240",*,"117,910"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","1,290",*,"115,670",*,"102,030","1,240",*,"102,140",*,"84,970"
"Economics Teachers, Postsecondary","1,710",*,"136,580",*,"129,590",210,*,*,*,*
"Geography Teachers, Postsecondary",70,*,*,*,*,850,*,"105,810",*,"94,520"
"Political Science Teachers, Postsecondary","1,390",*,"129,420",*,"111,350",200,*,"104,810",*,"93,910"
"Psychology Teachers, Postsecondary","3,960",*,"109,040",*,"97,070",140,*,"105,740",*,"104,800"
"Sociology Teachers, Postsecondary","1,570",*,"113,820",*,"105,480",310,*,"103,380",*,"83,280"
"Social Sciences Teachers, Postsecondary, All Other","2,480",*,"116,590",*,"108,910",250,*,"108,140",*,"109,550"
"Health Specialties Teachers, Postsecondary","18,340",*,"142,910",*,"132,890","1,370",39.16,"81,450",32.05,"66,670"
"Nursing Instructors and Teachers, Postsecondary","4,650",*,"102,270",*,"97,630","9,170",21.01,"43,700",20.35,"42,330"
"Education Teachers, Postsecondary","5,620",*,"97,140",*,"86,070","1,450",*,"54,720",*,"47,430"
"Library Science Teachers, Postsecondary",180,*,"96,230",*,"88,620","19,110",*,"86,200",*,"82,870"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","1,230",*,"92,140",*,"68,400","2,560",*,"80,370",*,"74,350"
"Law Teachers, Postsecondary","2,500",*,"144,890",*,"128,080","11,500",*,"92,380",*,"92,940"
"Social Work Teachers, Postsecondary","2,140",*,"104,020",*,"94,610",300,*,"87,330",*,"77,940"
"Art, Drama, and Music Teachers, Postsecondary","9,410",*,"110,910",*,"97,730",**,*,"79,530",*,"79,960"
"Communications Teachers, Postsecondary","3,120",*,"101,270",*,"87,260","1,690",*,"75,800",*,"75,500"
"English Language and Literature Teachers, Postsecondary","7,920",*,"107,270",*,"97,330",**,*,"79,880",*,"78,710"
"Foreign Language and Literature Teachers, Postsecondary","1,750",*,"98,670",*,"91,460",840,*,"94,670",*,"95,530"
"History Teachers, Postsecondary","1,980",*,"100,410",*,"92,490",450,*,"57,150",*,"47,950"
"Philosophy and Religion Teachers, Postsecondary","2,390",*,"93,020",*,"78,900","1,170",45.9,"95,470",39.11,"81,340"
"Recreation and Fitness Studies Teachers, Postsecondary",460,*,"94,740",*,"83,380","5,450",26.5,"55,130",23.73,"49,360"
"Career/Technical Education Teachers, Postsecondary","4,390",36.15,"75,200",30.34,"63,100","10,600",21.77,"45,280",19.26,"40,050"
"Postsecondary Teachers, All Other","3,510",*,"117,770",*,"110,050","9,400",*,"49,980",*,"39,330"
"Preschool Teachers, Except Special Education","26,360",22.82,"47,460",20.69,"43,030",60,44.93,"93,450",44.03,"91,580"
"Kindergarten Teachers, Except Special Education","8,420",*,"79,730",*,"74,100",600,38.94,"81,000",38.19,"79,430"
"Elementary School Teachers, Except Special Education","90,750",*,"85,740",*,"81,150",590,29.14,"60,610",28.31,"58,880"
"Middle School Teachers, Except Special and Career/Technical Education","47,620",*,"89,200",*,"85,790","5,470",38.2,"79,450",35.48,"73,790"
"Career/Technical Education Teachers, Middle School",720,*,"102,070",*,"103,020",**,29.9,"62,190",28.8,"59,900"
"Secondary School Teachers, Except Special and Career/Technical Education","68,630",*,"91,390",*,"89,620","2,100",33.91,"70,520",30.66,"63,780"
"Career/Technical Education Teachers, Secondary School","2,060",*,"92,140",*,"89,420","1,190",*,"36,230",*,"34,310"
"Special Education Teachers, Preschool","4,350",*,"94,370",*,"81,920","16,820",*,"40,120",*,"38,830"
"Special Education Teachers, Kindergarten and Elementary School","23,930",*,"80,190",*,"76,290","4,730",29.43,"61,210",28.47,"59,220"
"Special Education Teachers, Middle School","11,420",*,"88,900",*,"85,460","45,070",39.96,"83,120",35.16,"73,130"
"Special Education Teachers, Secondary School","14,330",*,"88,050",*,"83,950","1,590",69.55,"144,660",63.74,"132,580"
"Special Education Teachers, All Other","2,480",*,"91,840",*,"83,810",130,41.18,"85,660",32.45,"67,490"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","3,340",33.49,"69,670",32.2,"66,980","2,070",49.31,"102,560",45.44,"94,510"
Self-Enrichment Teachers,"28,770",35.53,"73,900",26.64,"55,420",640,44.98,"93,570",41.74,"86,820"
"Substitute Teachers, Short-Term","28,140",19.59,"40,750",16.25,"33,810",510,41.5,"86,320",40.29,"83,800"
"Tutors and Teachers and Instructors, All Other","19,530",*,"64,610",*,"39,720",900,21.37,"44,460",17.66,"36,730"
Archivists,820,28.98,"60,270",26.77,"55,680","4,760",38.86,"80,820",35.62,"74,090"
Curators,"1,190",36.45,"75,820",32.32,"67,230","2,570",36.68,"76,290",34.75,"72,280"
Museum Technicians and Conservators,890,31.73,"66,010",30.04,"62,470","2,680",24.29,"50,530",22.15,"46,070"
Librarians and Media Collections Specialists,"10,410",37.46,"77,920",35.89,"74,660",170,30.45,"63,330",30.69,"63,830"
Library Technicians,"6,270",19.41,"40,370",18.04,"37,520",370,43.66,"90,810",36.76,"76,460"
Farm and Home Management Educators,120,32.59,"67,800",26.55,"55,220",420,23.81,*,20.34,*
Instructional Coordinators,"16,360",38.61,"80,310",38.23,"79,520","3,040",51.41,"106,940",44.54,"92,650"
